"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Income_Quintile_Distribution","Value"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White","ONS 2011 5+1","Percentage of individuals in bottom income quintile","19"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White","ONS 2011 5+1","Percentage of individuals in second income quintile","20"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White","ONS 2011 5+1","Percentage of individuals in third income quintile","20"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White","ONS 2011 5+1","Percentage of individuals in fourth income quintile","21"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White","ONS 2011 5+1","Percentage of individuals in top income quintile","21"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White British","White ethnicity: detailed","Percentage of individuals in bottom income quintile","18"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White British","White ethnicity: detailed","Percentage of individuals in second income quintile","20"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White British","White ethnicity: detailed","Percentage of individuals in third income quintile","20"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White British","White ethnicity: detailed","Percentage of individuals in fourth income quintile","21"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White British","White ethnicity: detailed","Percentage of individuals in top income quintile","21"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White Other","White ethnicity: detailed","Percentage of individuals in bottom income quintile","20"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White Other","White ethnicity: detailed","Percentage of individuals in second income quintile","18"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White Other","White ethnicity: detailed","Percentage of individuals in third income quintile","17"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White Other","White ethnicity: detailed","Percentage of individuals in fourth income quintile","20"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","White Other","White ethnicity: detailed","Percentage of individuals in top income quintile","25"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","Mixed","ONS 2011 5+1","Percentage of individuals in bottom income quintile","24"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","Mixed","ONS 2011 5+1","Percentage of individuals in second income quintile","17"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","Mixed","ONS 2011 5+1","Percentage of individuals in third income quintile","21"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","Mixed","ONS 2011 5+1","Percentage of individuals in fourth income quintile","19"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","Mixed","ONS 2011 5+1","Percentage of individuals in top income quintile","19"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","Asian","ONS 2011 5+1","Percentage of individuals in bottom income quintile","32"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","Asian","ONS 2011 5+1","Percentage of individuals in second income quintile","21"
"Quintile distribution of income Before Housing Costs","2014/15; 2015/16; 2016/17","3-Year average","Asian","ONS 2011 5+1","Percentage of individuals in third income quintile","17"
