"Title"," Percentage of apprenticeship starts by ethnicity over time"
"Location","England"
"Time period","2002/03 to 2015/16"
"Data source","FE data library: apprenticeships"
"Data source link","https://www.gov.uk/government/statistical-data-sets/fe-data-library-apprenticeships"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","Year","Value"
"Asian","2002/03","2.1"
"Asian","2003/04","2.2"
"Asian","2004/05","2.5"
"Asian","2005/06","2.3"
"Asian","2006/07","2.5"
"Asian","2007/08","2.9"
"Asian","2008/09","3.9"
"Asian","2009/10","3.4"
"Asian","2010/11","4.2"
"Asian","2011/12","4.0"
"Asian","2012/13","3.9"
"Asian","2013/14","4.2"
"Asian","2014/15","4.3"
"Asian","2015/16","4.2"
"Black","2002/03","1.5"
"Black","2003/04","1.5"
"Black","2004/05","1.5"
"Black","2005/06","1.3"
"Black","2006/07","1.3"
"Black","2007/08","1.6"
"Black","2008/09","2.1"
"Black","2009/10","2.3"
"Black","2010/11","3.2"
"Black","2011/12","3.3"
"Black","2012/13","3.3"
"Black","2013/14","3.1"
"Black","2014/15","3.5"
"Black","2015/16","3.4"
"Mixed","2002/03","1.1"
"Mixed","2003/04","1.2"
"Mixed","2004/05","1.3"
"Mixed","2005/06","1.3"
"Mixed","2006/07","1.4"
"Mixed","2007/08","1.4"
"Mixed","2008/09","1.6"
"Mixed","2009/10","1.8"
"Mixed","2010/11","1.8"
"Mixed","2011/12","1.9"
"Mixed","2012/13","2.0"
"Mixed","2013/14","2.2"
"Mixed","2014/15","2.2"
"Mixed","2015/16","2.2"
"White","2002/03","93.8"
"White","2003/04","94.1"
"White","2004/05","93.4"
"White","2005/06","93.8"
"White","2006/07","93.5"
"White","2007/08","92.6"
"White","2008/09","90.8"
"White","2009/10","91.1"
"White","2010/11","89.0"
"White","2011/12","89.3"
"White","2012/13","89.3"
"White","2013/14","88.9"
"White","2014/15","88.5"
"White","2015/16","88.1"
"Other","2002/03","0.6"
"Other","2003/04","0.3"
"Other","2004/05","0.4"
"Other","2005/06","0.4"
"Other","2006/07","0.4"
"Other","2007/08","0.4"
"Other","2008/09","0.5"
"Other","2009/10","0.5"
"Other","2010/11","0.8"
"Other","2011/12","0.7"
"Other","2012/13","0.7"
"Other","2013/14","0.7"
"Other","2014/15","0.7"
"Other","2015/16","0.7"
"Unknown","2002/03","0.9"
"Unknown","2003/04","0.8"
"Unknown","2004/05","0.9"
"Unknown","2005/06","0.8"
"Unknown","2006/07","0.8"
"Unknown","2007/08","1.0"
"Unknown","2008/09","1.0"
"Unknown","2009/10","1.0"
"Unknown","2010/11","1.0"
"Unknown","2011/12","0.8"
"Unknown","2012/13","1.0"
"Unknown","2013/14","0.9"
"Unknown","2014/15","0.9"
"Unknown","2015/16","1.4"
"Ethnic minority (excl. White minorities)","2002/03","5.3"
"Ethnic minority (excl. White minorities)","2003/04","5.2"
"Ethnic minority (excl. White minorities)","2004/05","5.7"
"Ethnic minority (excl. White minorities)","2005/06","5.3"
"Ethnic minority (excl. White minorities)","2006/07","5.6"
"Ethnic minority (excl. White minorities)","2007/08","6.3"
"Ethnic minority (excl. White minorities)","2008/09","8.1"
"Ethnic minority (excl. White minorities)","2009/10","8.0"
"Ethnic minority (excl. White minorities)","2010/11","10.0"
"Ethnic minority (excl. White minorities)","2011/12","9.9"
"Ethnic minority (excl. White minorities)","2012/13","9.9"
"Ethnic minority (excl. White minorities)","2013/14","10.2"
"Ethnic minority (excl. White minorities)","2014/15","10.7"
"Ethnic minority (excl. White minorities)","2015/16","10.5"
