"","Asian","Black","Mixed","White","Other","Unknown"
"Year","%","%","%","%","%","%"
"2002/03","2.1","1.5","1.1","93.8","0.6","0.9"
"2003/04","2.2","1.5","1.2","94.1","0.3","0.8"
"2004/05","2.5","1.5","1.3","93.4","0.4","0.9"
"2005/06","2.3","1.3","1.3","93.8","0.4","0.8"
"2006/07","2.5","1.3","1.4","93.5","0.4","0.8"
"2007/08","2.9","1.6","1.4","92.6","0.4","1.0"
"2008/09","3.9","2.1","1.6","90.8","0.5","1.0"
"2009/10","3.4","2.3","1.8","91.1","0.5","1.0"
"2010/11","4.2","3.2","1.8","89.0","0.8","1.0"
"2011/12","4.0","3.3","1.9","89.3","0.7","0.8"
"2012/13","3.9","3.3","2.0","89.3","0.7","1.0"
"2013/14","4.2","3.1","2.2","88.9","0.7","0.9"
"2014/15","4.3","3.5","2.2","88.5","0.7","0.9"
"2015/16","4.2","3.4","2.2","88.1","0.7","1.4"
"2016/17","4.4","3.7","2.2","87.7","0.8","1.1"
