"Title","People living on persistent low income after housing costs are paid (AHC)"
"Location","United Kingdom"
"Time period","2011 to 2015"
"Data source","Understanding Society, Income Dynamics https://www.gov.uk/government/statistics/income-dynamics-experimental"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Age Bracket","Value"
"White British","All","11"
"White other","All","15"
"Mixed","All","17"
"Asian/ Asian British","All","22"
"Black/ African/ Caribbean/ Black British","All","25"
"Other ethnic group","All","31"
"White British","Children","15"
"White other","Children","18"
"Mixed","Children","22"
"Asian/ Asian British","Children","31"
"Black/ African/ Caribbean/ Black British","Children","31"
"Other ethnic group","Children","?"
"White British","Working-age adults","10"
"White other","Working-age adults","14"
"Mixed","Working-age adults","16"
"Asian/ Asian British","Working-age adults","20"
"Black/ African/ Caribbean/ Black British","Working-age adults","22"
"Other ethnic group","Working-age adults","29"
"White British","Pensioners","8"
"White other","Pensioners","10"
"Mixed","Pensioners","?"
"Asian/ Asian British","Pensioners","5"
"Black/ African/ Caribbean/ Black British","Pensioners","?"
"Other ethnic group","Pensioners","?"
