"Title","People living on persistent low income before housing costs are paid (BHC)"
"Location","United Kingdom"
"Time period","2011 to 2015"
"Data source","Understanding Society, Income Dynamics https://www.gov.uk/government/statistics/income-dynamics-experimental"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Age Bracket","Value"
"White British","All","9"
"White other","All","8"
"Mixed","All","10"
"Asian/ Asian British","All","18"
"Black/ African/ Caribbean/ Black British","All","16"
"Other ethnic group","All","20"
"White British","Children","10"
"White other","Children","8"
"Mixed","Children","11"
"Asian/ Asian British","Children","25"
"Black/ African/ Caribbean/ Black British","Children","20"
"Other ethnic group","Children","27"
"White British","Working-age adults","7"
"White other","Working-age adults","6"
"Mixed","Working-age adults","10"
"Asian/ Asian British","Working-age adults","14"
"Black/ African/ Caribbean/ Black British","Working-age adults","14"
"Other ethnic group","Working-age adults","17"
"White British","Pensioners","12"
"White other","Pensioners","15"
"Mixed","Pensioners","?"
"Asian/ Asian British","Pensioners","14"
"Black/ African/ Caribbean/ Black British","Pensioners","9"
"Other ethnic group","Pensioners","?"
