"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography code","Geography_type","Gender","Age Bracket","Socio-economic classification","Value","Denominator"
"Proportion of adults that fear crime","2013/14","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.4","34684"
"Proportion of adults that fear crime","2014/15","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","18.5","32702"
"Proportion of adults that fear crime","2015/16","Financial year","All","All","England and Wales","K04000001","ONS geography code","All","16+","All","19.1","34566"
"Proportion of adults that fear crime","2013/14","Financial year","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.9","31414"
"Proportion of adults that fear crime","2013/14","Financial year","White British","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.7","29565"
"Proportion of adults that fear crime","2013/14","Financial year","White Irish","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","20.7","316"
"Proportion of adults that fear crime","2013/14","Financial year","Gypsy or Irish Traveller","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","?","12"
"Proportion of adults that fear crime","2013/14","Financial year","Any other white background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","20.4","1521"
"Proportion of adults that fear crime","2013/14","Financial year","Mixed","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","28.6","329"
"Proportion of adults that fear crime","2013/14","Financial year","Mixed white and black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","24.9","119"
"Proportion of adults that fear crime","2013/14","Financial year","Mixed white and black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","?","45"
"Proportion of adults that fear crime","2013/14","Financial year","Mixed white and asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","32.7","77"
"Proportion of adults that fear crime","2013/14","Financial year","Any other Mixed/Multiple ethnic background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","24.8","88"
"Proportion of adults that fear crime","2013/14","Financial year","Asian","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","31.5","1766"
"Proportion of adults that fear crime","2013/14","Financial year","Indian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","33.3","744"
"Proportion of adults that fear crime","2013/14","Financial year","Pakistani","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","35.3","388"
"Proportion of adults that fear crime","2013/14","Financial year","Bangladeshi","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","34.2","132"
"Proportion of adults that fear crime","2013/14","Financial year","Chinese","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","15.3","165"
"Proportion of adults that fear crime","2013/14","Financial year","Any other asian","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","28.8","337"
"Proportion of adults that fear crime","2013/14","Financial year","Black","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","26.8","918"
"Proportion of adults that fear crime","2013/14","Financial year","Black african","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","23.2","542"
"Proportion of adults that fear crime","2013/14","Financial year","Black caribbean","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","31.9","331"
"Proportion of adults that fear crime","2013/14","Financial year","Any other black background","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","?","45"
"Proportion of adults that fear crime","2013/14","Financial year","Other","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","25.1","229"
"Proportion of adults that fear crime","2013/14","Financial year","Arab","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","21.4","86"
"Proportion of adults that fear crime","2013/14","Financial year","Any other ethnic group","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","27.3","143"
"Proportion of adults that fear crime","2014/15","Financial year","White","ONS 5+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.4","29681"
"Proportion of adults that fear crime","2014/15","Financial year","White British","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.4","27990"
"Proportion of adults that fear crime","2014/15","Financial year","White Irish","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","17.5","295"
"Proportion of adults that fear crime","2014/15","Financial year","Gypsy or Irish Traveller","ONS 18+1","England and Wales","K04000001","ONS geography code","All","16+","All","?","10"
