"Title","Fear of crime by ethnicity over time"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","2013/14","","2014/15","","2015/16",""
"Ethnicity","%","Number","%","Number","%","Number"
"All","19","34,684","19","32,702","19","34,566"
"Asian","31"," 1,766 ","28"," 1,578 ","27","1,712"
"Bangladeshi","34","132","29","119","31","130"
"Chinese","15","165","19","131","16","166"
"Indian","33","744","29","642","27","694"
"Pakistani","35","388","27","375","30","400"
"Asian other","29","337","30","311","26","322"
"Black","27","918","24","875","26","854"
"Black African","23","542","22","509","25","504"
"Black Caribbean","32","331","26","309","28","292"
"Black other","?","45","26","57","28","58"
"Mixed","29","329","20","303","21","359"
"Mixed White/Asian","33","77","18","88","21","93"
"Mixed White/Black African","?","45","?","45","?","43"
"Mixed White/Black Caribbean","25","119","21","97","18","133"
"Mixed other","25","88","27","73","26","90"
"White","18"," 31,414 ","17"," 29,681 ","18","31,352"
"White British","18"," 29,565 ","17"," 27,990 ","18","29,458"
"White Irish","21","316","17","295","20","280"
"White Gypsy/Traveller","?","12","?","10","?","15"
"White other","20"," 1,521 ","19"," 1,386 ","21","1,599"
"Other","25","229","26","223","27","235"
"Arab","21","86","25","79","30","84"
"Any other","27","143","26","144","25","151"
