"Title","Fear of crime by ethnicity and age group"
"Location","England and Wales"
"Time period","2013/14, 2014/15 and 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","July 2017"

"Standard Ethnicity","Age group","%","Number"
"Asian","16-24","24","563"
"Asian","25-34","28"," 1,327 "
"Asian","35-44","31"," 1,414 "
"Asian","45-54","31","775"
"Asian","55-64","35","513"
"Asian","65-74","28","329"
"Asian","75+","27","135"
"Black","16-24","20","282"
"Black","25-34","24","518"
"Black","35-44","25","698"
"Black","45-54","32","598"
"Black","55-64","28","271"
"Black","65-74","34","152"
"Black","75+","14","128"
"Mixed","16-24","23","207"
"Mixed","25-34","20","250"
"Mixed","35-44","25","221"
"Mixed","45-54","26","156"
"Mixed","55-64","29","70"
"Mixed","65-74","21","61"
"Mixed","75+","?","26"
"White","16-24","18"," 6,470 "
"White","25-34","20"," 12,492 "
"White","35-44","22"," 13,988 "
"White","45-54","20"," 15,879 "
"White","55-64","19"," 15,444 "
"White","65-74","15"," 15,539 "
"White","75+","9"," 12,635 "
"Other","16-24","20","85"
"Other","25-34","25","172"
"Other","35-44","31","189"
"Other","45-54","30","109"
"Other","55-64","24","63"
"Other","65-74","?","41"
"Other","75+","?","28"
