"Title","Fear of crime by ethnicity and socio-economic group"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined) "
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","Socio-economic group","%","Number"
"Asian","Managerial and professional occupations","28"," 1,618 "
"Asian","Intermediate occupations","34"," 1,035 "
"Asian","Routine and manual occupations","30"," 1,389 "
"Asian","Never worked and long-term unemployed","26","556"
"Asian","Full time students","23","418"
"Asian","Not classified","?","40"
"Black","Managerial and professional occupations","26","778"
"Black","Intermediate occupations","27","447"
"Black","Routine and manual occupations","28","954"
"Black","Never worked and long-term unemployed","19","226"
"Black","Full time students","22","221"
"Black","Not classified","?","21"
"Mixed","Managerial and professional occupations","21","332"
"Mixed","Intermediate occupations","24","195"
"Mixed","Routine and manual occupations","23","304"
"Mixed","Never worked and long-term unemployed","30","55"
"Mixed","Full time students","25","101"
"Mixed","Not classified","?","4"
"White","Managerial and professional occupations","17"," 31,910 "
"White","Intermediate occupations","19"," 21,907 "
"White","Routine and manual occupations","19"," 32,943 "
"White","Never worked and long-term unemployed","20"," 2,758 "
"White","Full time students","15"," 2,442 "
"White","Not classified","17","487"
"Other","Managerial and professional occupations","28","195"
"Other","Intermediate occupations","25","124"
"Other","Routine and manual occupations","23","167"
"Other","Never worked and long-term unemployed","34","97"
"Other","Full time students","22","102"
"Other","Not classified","?","2"
