"Title","Reading, writing and maths attainments for children aged 7 to 11 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"

"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","35","57"
"Asian","44","57"
"Bangladeshi","52","58"
"Indian","47","66"
"Pakistani","39","49"
"Asian other","49","63"
"Black","42","54"
"Black African","46","57"
"Black Caribbean","35","46"
"Black other","40","51"
"Chinese","67","71"
"Mixed","39","60"
"Mixed White/Asian","42","68"
"Mixed White/Black African","42","58"
"Mixed White/Black Caribbean","34","53"
"Mixed other","41","61"
"White","32","57"
"White British","32","58"
"White Irish","37","66"
"White Irish Traveller","17","24"
"White Gypsy/Roma","12","13"
"White other","38","49"
"Other","42","52"
