"Title","Writing attainments for children aged 7 to 11 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12 January 2017 (revised)"

"Ethnicity","Expected standard","Higher standard","Progress score"
"All","74","15","0.0"
"Asian","77","16","1.1"
"Bangladeshi","80","17","2.0"
"Indian","82","21","1.0"
"Pakistani","73","11","0.8"
"Asian other","79","19","1.4"
"Black","75","14","1.2"
"Black African","77","16","1.5"
"Black Caribbean","70","10","0.2"
"Black other","73","13","1.3"
"Chinese","84","29","1.8"
"Mixed","76","16","0.3"
"Mixed White/Asian","81","21","0.5"
"Mixed White/Black African","76","15","0.5"
"Mixed White/Black Caribbean","72","12","-0.2"
"Mixed other","77","18","0.6"
"White","73","15","-0.3"
"White British","74","15","-0.4"
"White Irish","79","21","0.4"
"White Irish Traveller","35","3","-1.4"
"White Gypsy/Roma","29","1","-0.6"
"White other","68","13","1.7"
"Other","71","13","1.6"
"Unknown","60","11","-0.4"
