"NS-SEC","Ethnicity",""
"Higher managerial and professional","All","7.98"
"Higher managerial and professional","Bangladeshi","7.97"
"Higher managerial and professional","Chinese","7.84"
"Higher managerial and professional","Indian","7.98"
"Higher managerial and professional","Pakistani","7.93"
"Higher managerial and professional","Asian other","8.07"
"Higher managerial and professional","Black","7.95"
"Higher managerial and professional","Mixed other","7.74"
"Higher managerial and professional","White","7.98"
"Higher managerial and professional","Other","7.98"
"Higher managerial and professional","Arab","8.20"
"Higher managerial and professional","Gypsy / Traveller / Irish Traveller","?"
"Lower managerial and professional","All","7.99"
"Lower managerial and professional","Bangladeshi","7.66"
"Lower managerial and professional","Chinese","7.69"
"Lower managerial and professional","Indian","7.86"
"Lower managerial and professional","Pakistani","7.96"
"Lower managerial and professional","Asian other","7.86"
"Lower managerial and professional","Black","7.84"
"Lower managerial and professional","Mixed other","7.90"
"Lower managerial and professional","White","8.01"
"Lower managerial and professional","Other","7.86"
"Lower managerial and professional","Arab","7.85"
"Lower managerial and professional","Gypsy / Traveller / Irish Traveller","?"
"Intermediate occupations","All","7.86"
"Intermediate occupations","Bangladeshi","7.87"
"Intermediate occupations","Chinese","7.54"
"Intermediate occupations","Indian","7.87"
"Intermediate occupations","Pakistani","7.79"
"Intermediate occupations","Asian other","7.86"
"Intermediate occupations","Black","7.72"
"Intermediate occupations","Mixed other","7.72"
"Intermediate occupations","White","7.87"
"Intermediate occupations","Other","7.62"
"Intermediate occupations","Arab","?"
"Intermediate occupations","Gypsy / Traveller / Irish Traveller","?"
"Small employers and own account workers","All","7.94"
"Small employers and own account workers","Bangladeshi","8.10"
"Small employers and own account workers","Chinese","7.53"
"Small employers and own account workers","Indian","7.77"
"Small employers and own account workers","Pakistani","7.59"
"Small employers and own account workers","Asian other","7.58"
"Small employers and own account workers","Black","7.64"
"Small employers and own account workers","Mixed other","7.55"
"Small employers and own account workers","White","7.97"
"Small employers and own account workers","Other","7.73"
"Small employers and own account workers","Arab","?"
"Small employers and own account workers","Gypsy / Traveller / Irish Traveller","?"
"Lower supervisory and technical","All","7.77"
"Lower supervisory and technical","Bangladeshi","7.59"
"Lower supervisory and technical","Chinese","?"
"Lower supervisory and technical","Indian","7.61"
"Lower supervisory and technical","Pakistani","7.52"
"Lower supervisory and technical","Asian other","7.67"
"Lower supervisory and technical","Black","7.45"
"Lower supervisory and technical","Mixed other","7.53"
"Lower supervisory and technical","White","7.79"
"Lower supervisory and technical","Other","7.64"
"Lower supervisory and technical","Arab","?"
"Lower supervisory and technical","Gypsy / Traveller / Irish Traveller","?"
"Semi-routine occupations","All","7.74"
"Semi-routine occupations","Bangladeshi","7.14"
"Semi-routine occupations","Chinese","7.42"
"Semi-routine occupations","Indian","7.66"
"Semi-routine occupations","Pakistani","7.82"
"Semi-routine occupations","Asian other","7.79"
"Semi-routine occupations","Black","7.48"
"Semi-routine occupations","Mixed other","7.54"
"Semi-routine occupations","White","7.76"
"Semi-routine occupations","Other","7.59"
"Semi-routine occupations","Arab","7.15"
"Semi-routine occupations","Gypsy / Traveller / Irish Traveller","?"
"Routine occupations","All","7.60"
"Routine occupations","Bangladeshi","7.85"
"Routine occupations","Chinese","?"
"Routine occupations","Indian","7.63"
"Routine occupations","Pakistani","7.73"
"Routine occupations","Asian other","7.72"
"Routine occupations","Black","7.53"
"Routine occupations","Mixed other","7.36"
"Routine occupations","White","7.60"
"Routine occupations","Other","7.60"
"Routine occupations","Arab","?"
"Routine occupations","Gypsy / Traveller / Irish Traveller","?"
"Never worked, unemployed, and nec","All","7.65"
"Never worked, unemployed, and nec","Bangladeshi","7.68"
"Never worked, unemployed, and nec","Chinese","7.82"
"Never worked, unemployed, and nec","Indian","7.72"
"Never worked, unemployed, and nec","Pakistani","7.70"
"Never worked, unemployed, and nec","Asian other","7.59"
"Never worked, unemployed, and nec","Black","7.56"
"Never worked, unemployed, and nec","Mixed other","7.45"
"Never worked, unemployed, and nec","White","7.65"
"Never worked, unemployed, and nec","Other","7.49"
"Never worked, unemployed, and nec","Arab","7.58"
"Never worked, unemployed, and nec","Gypsy / Traveller / Irish Traveller","?"
