"","2012","2013","2014","2015","2016"
"Ethnicity","","","","",""
"All","31.5","32.3","33.9","34.5","34.9"
"Bangladeshi","28.5","32.0","34.8","35.7","30.9"
"Chinese","22.6","20.4","26.2","27.7","26.0"
"Indian","31.6","30.7","31.4","33.9","33.8"
"Pakistani","31.0","30.8","34.4","34.5","35.9"
"Asian other","29.6","32.3","33.8","30.7","33.9"
"Black","30.1","31.8","33.3","33.5","33.3"
"Mixed other","27.3","35.6","29.1","31.8","32.0"
"White","31.7","32.5","34.1","34.6","35.2"
"Other","27.2","28.8","31.2","31.5","33.0"
"Arab","27.4","27.2","25.0","36.9","33.4"
"Gypsy / Traveller / Irish Traveller","?","?","?","?","?"
