"Title","Well-being: how worthwhile people feel the things they do in their life are"
"Location","UK"
"Time period","2012 to 2016"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/datasets/measuringnationalwellbeingworthwhile"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-03-02"
"Measure","Year","Ethnicity","Sex","NS-SEC","Threshold","Mean","Percentage","Upper Confidence Interval","Lower Confidence Interval","Sample Size"
"Worthwhile","2012","Arab","All","All","All","7.19","N/A","7.47","6.91","340"
"Worthwhile","2013","Arab","All","All","All","7.33","N/A","7.58","7.09","330"
"Worthwhile","2014","Arab","All","All","All","7.48","N/A","7.7","7.26","370"
"Worthwhile","2015","Arab","All","All","All","7.77","N/A","8","7.54","370"
"Worthwhile","2016","Arab","All","All","All","7.75","N/A","7.98","7.52","340"
"Worthwhile","2012","Bangladeshi","All","All","All","7.44","N/A","7.62","7.26","580"
"Worthwhile","2013","Bangladeshi","All","All","All","7.62","N/A","7.8","7.44","550"
"Worthwhile","2014","Bangladeshi","All","All","All","7.76","N/A","7.93","7.58","560"
"Worthwhile","2015","Bangladeshi","All","All","All","7.79","N/A","7.98","7.61","550"
"Worthwhile","2016","Bangladeshi","All","All","All","7.65","N/A","7.83","7.47","550"
"Worthwhile","2012","Black / African / Caribbean / Black British","All","All","All","7.47","N/A","7.55","7.39","3100"
"Worthwhile","2013","Black / African / Caribbean / Black British","All","All","All","7.59","N/A","7.67","7.51","3070"
"Worthwhile","2014","Black / African / Caribbean / Black British","All","All","All","7.64","N/A","7.72","7.55","3150"
"Worthwhile","2015","Black / African / Caribbean / Black British","All","All","All","7.69","N/A","7.77","7.62","3200"
"Worthwhile","2016","Black / African / Caribbean / Black British","All","All","All","7.65","N/A","7.74","7.57","2990"
"Worthwhile","2012","Chinese","All","All","All","7.43","N/A","7.64","7.23","590"
"Worthwhile","2013","Chinese","All","All","All","7.47","N/A","7.62","7.33","580"
"Worthwhile","2014","Chinese","All","All","All","7.75","N/A","7.88","7.62","580"
"Worthwhile","2015","Chinese","All","All","All","7.66","N/A","7.86","7.46","580"
"Worthwhile","2016","Chinese","All","All","All","7.74","N/A","7.88","7.61","570"
"Worthwhile","2012","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Worthwhile","2013","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Worthwhile","2014","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","30"
"Worthwhile","2015","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Worthwhile","2016","Gypsy / Traveller / Irish Traveller","All","All","All","?","N/A","?","?","40"
"Worthwhile","2012","Indian","All","All","All","7.71","N/A","7.79","7.63","2730"
"Worthwhile","2013","Indian","All","All","All","7.73","N/A","7.81","7.65","2720"
"Worthwhile","2014","Indian","All","All","All","7.76","N/A","7.84","7.68","2860"
"Worthwhile","2015","Indian","All","All","All","7.88","N/A","7.96","7.8","2720"
"Worthwhile","2016","Indian","All","All","All","7.9","N/A","7.98","7.82","2700"
"Worthwhile","2012","Mixed / Multiple ethnic groups","All","All","All","7.46","N/A","7.62","7.29","960"
"Worthwhile","2013","Mixed / Multiple ethnic groups","All","All","All","7.67","N/A","7.83","7.51","940"
"Worthwhile","2014","Mixed / Multiple ethnic groups","All","All","All","7.52","N/A","7.67","7.38","1050"
"Worthwhile","2015","Mixed / Multiple ethnic groups","All","All","All","7.69","N/A","7.83","7.54","1020"
"Worthwhile","2016","Mixed / Multiple ethnic groups","All","All","All","7.72","N/A","7.86","7.58","990"
"Worthwhile","2012","Other Asian background","All","All","All","7.56","N/A","7.7","7.41","1070"
"Worthwhile","2013","Other Asian background","All","All","All","7.62","N/A","7.77","7.47","1050"
"Worthwhile","2014","Other Asian background","All","All","All","7.78","N/A","7.92","7.64","1050"
"Worthwhile","2015","Other Asian background","All","All","All","7.7","N/A","7.83","7.58","1070"
"Worthwhile","2016","Other Asian background","All","All","All","7.82","N/A","7.94","7.7","1060"
"Worthwhile","2012","Other ethnic group","All","All","All","7.41","N/A","7.54","7.28","1240"
"Worthwhile","2013","Other ethnic group","All","All","All","7.46","N/A","7.6","7.33","1340"
"Worthwhile","2014","Other ethnic group","All","All","All","7.66","N/A","7.78","7.55","1340"
"Worthwhile","2015","Other ethnic group","All","All","All","7.72","N/A","7.84","7.6","1290"
"Worthwhile","2016","Other ethnic group","All","All","All","7.81","N/A","7.94","7.69","1210"
"Worthwhile","2012","Pakistani","All","All","All","7.53","N/A","7.66","7.41","1540"
"Worthwhile","2013","Pakistani","All","All","All","7.61","N/A","7.73","7.49","1520"
"Worthwhile","2014","Pakistani","All","All","All","7.75","N/A","7.86","7.64","1650"
"Worthwhile","2015","Pakistani","All","All","All","7.81","N/A","7.93","7.7","1520"
"Worthwhile","2016","Pakistani","All","All","All","7.86","N/A","7.97","7.75","1550"
"Worthwhile","2012","All","All","All","All","7.7","N/A","7.71","7.68","165160"
"Worthwhile","2013","All","All","All","All","7.73","N/A","7.74","7.71","164940"
"Worthwhile","2014","All","All","All","All","7.8","N/A","7.81","7.79","164580"
"Worthwhile","2015","All","All","All","All","7.84","N/A","7.85","7.83","160200"
"Worthwhile","2016","All","All","All","All","7.85","N/A","7.87","7.84","149520"
"Worthwhile","2012","White","All","All","All","7.72","N/A","7.73","7.7","152880"
"Worthwhile","2013","White","All","All","All","7.74","N/A","7.75","7.73","152720"
"Worthwhile","2014","White","All","All","All","7.81","N/A","7.82","7.8","151820"
"Worthwhile","2015","White","All","All","All","7.85","N/A","7.87","7.84","147740"
"Worthwhile","2016","White","All","All","All","7.86","N/A","7.88","7.85","137440"
"Worthwhile","2012","Arab","All","All","High (7-8)","N/A","38.66","46.22","31.1","-"
"Worthwhile","2012","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2012","Arab","All","All","Medium (5-6)","N/A","26.37","32.62","20.11","-"
"Worthwhile","2012","Arab","All","All","Very High (9-10)","N/A","27.39","34.25","20.53","-"
"Worthwhile","2013","Arab","All","All","High (7-8)","N/A","43.96","50.55","37.36","-"
"Worthwhile","2013","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2013","Arab","All","All","Medium (5-6)","N/A","23.16","28.54","17.78","-"
"Worthwhile","2013","Arab","All","All","Very High (9-10)","N/A","27.21","32.97","21.44","-"
"Worthwhile","2014","Arab","All","All","High (7-8)","N/A","51.66","58.42","44.9","-"
"Worthwhile","2014","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2014","Arab","All","All","Medium (5-6)","N/A","17.69","22.45","12.93","-"
"Worthwhile","2014","Arab","All","All","Very High (9-10)","N/A","25","30.36","19.64","-"
"Worthwhile","2015","Arab","All","All","High (7-8)","N/A","42.51","49.32","35.7","-"
"Worthwhile","2015","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2015","Arab","All","All","Medium (5-6)","N/A","16.76","21.59","11.94","-"
"Worthwhile","2015","Arab","All","All","Very High (9-10)","N/A","36.89","43.63","30.16","-"
"Worthwhile","2016","Arab","All","All","High (7-8)","N/A","48.74","55.17","42.32","-"
"Worthwhile","2016","Arab","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2016","Arab","All","All","Medium (5-6)","N/A","13.15","17.08","9.22","-"
"Worthwhile","2016","Arab","All","All","Very High (9-10)","N/A","33.44","39.93","26.94","-"
"Worthwhile","2012","Bangladeshi","All","All","High (7-8)","N/A","44.28","49.49","39.06","-"
"Worthwhile","2012","Bangladeshi","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2012","Bangladeshi","All","All","Medium (5-6)","N/A","23.11","27.5","18.73","-"
"Worthwhile","2012","Bangladeshi","All","All","Very High (9-10)","N/A","28.51","33.5","23.52","-"
"Worthwhile","2013","Bangladeshi","All","All","High (7-8)","N/A","45.99","50.91","41.07","-"
"Worthwhile","2013","Bangladeshi","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2013","Bangladeshi","All","All","Medium (5-6)","N/A","17.47","21.18","13.75","-"
"Worthwhile","2013","Bangladeshi","All","All","Very High (9-10)","N/A","32.04","36.69","27.39","-"
"Worthwhile","2014","Bangladeshi","All","All","High (7-8)","N/A","44.9","50.06","39.75","-"
"Worthwhile","2014","Bangladeshi","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2014","Bangladeshi","All","All","Medium (5-6)","N/A","17.23","21.4","13.07","-"
"Worthwhile","2014","Bangladeshi","All","All","Very High (9-10)","N/A","34.78","39.81","29.75","-"
"Worthwhile","2015","Bangladeshi","All","All","High (7-8)","N/A","43.88","49.48","38.29","-"
"Worthwhile","2015","Bangladeshi","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2015","Bangladeshi","All","All","Medium (5-6)","N/A","16.72","21.24","12.21","-"
"Worthwhile","2015","Bangladeshi","All","All","Very High (9-10)","N/A","35.69","41.37","30.01","-"
"Worthwhile","2016","Bangladeshi","All","All","High (7-8)","N/A","45.61","50.71","40.51","-"
"Worthwhile","2016","Bangladeshi","All","All","Low (0-4)","N/A","?","?","?","-"
"Worthwhile","2016","Bangladeshi","All","All","Medium (5-6)","N/A","20.07","24.23","15.91","-"
"Worthwhile","2016","Bangladeshi","All","All","Very High (9-10)","N/A","30.89","35.9","25.87","-"
"Worthwhile","2012","Black / African / Caribbean / Black British","All","All","High (7-8)","N/A","42.9","45.03","40.78","-"
