"Title","Civil servants' average annual pay by ethnicity and grade"
"Location","UK"
"Time period","2018"
"Data source","Annual Civil Service Employment Survey"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","03/08/2018"

"","Administrative officers and assistants","Executive officer","Senior and higher executive officer","Grades 6 & 7","Senior Civil Service","Unknown grade"
"","£","£","£","£","£","£"
"All","20,000","25,600","33,900","54,700","81,500","30,500"
"Asian","20,200","26,900","34,000","54,800","86,700","30,700"
"Black","22,500","27,500","34,700","55,400","90,000","30,600"
"Chinese","19,700","26,600","34,800","55,500","88,400","30,200"
"Mixed","20,100","26,100","34,500","54,100","80,000","32,300"
"White","20,000","25,400","33,900","54,900","81,000","30,500"
"Other","20,600","26,600","35,000","56,000","77,100","29,700"
"Unknown","19,700","25,400","33,700","54,100","82,400","30,500"
