"Title","Adults reporting suicidal thoughts, attempts and self harm"
"Location","England"
"Time period","2014"
"Data source","NHS Digital"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"
"Measure","Time","Time_type","Geography","Ethnicity","Ethnicity_type","Sex","Sex_type","Suicidal thoughts and self harm","Suicidal thoughts and self harm_type","Value","Value type","Value Note","Lower CI","Upper CI","unweighted sample size"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","All","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","21.6","%","","20.30%","22.90%","6,387"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","All","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","20.8","%","","16.40%","25.90%","425"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","All","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","20.7","%","","14.80%","28.20%","197"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","All","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","13.1","%","","9.50%","17.70%","357"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","All","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","17.9","%","","11.40%","27.00%","151"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","All","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","6.9","%","","6.20%","7.70%","6,387"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","All","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","6.1","%","","3.80%","9.80%","425"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","All","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","6.1","%","","3.40%","10.70%","197"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","All","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","5.3","%","","3.30%","8.50%","357"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","All","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","5.7","%","","2.70%","11.60%","151"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","All","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","8.1","%","","7.30%","9.00%","6,387"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","All","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","6.1","%","","3.60%","10.10%","425"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","All","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","4.8","%","","2.40%","9.20%","197"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","All","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","5.5","%","","3.50%","8.40%","357"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","All","Men/Women/All","Self-harm","Suicide thoughts/suicide attempts/self harm","4.2","%","","2.20%","8.00%","151"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","Men","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","19.6","%","","17.80%","21.70%","2,620"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","Men","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","23.3","%","","16.20%","32.40%","153"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","Men","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","21.4","%","","12.30%","34.40%","67"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","Men","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","12","%","","7.20%","19.30%","152"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","Men","Men/Women/All","Suicide thoughts","Suicide thoughts/suicide attempts/self harm","9.5","%","","4.10%","20.20%","57"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","Men","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","5.3","%","","4.40%","6.40%","2,620"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","Men","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","6","%","","2.70%","13.00%","153"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","Men","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","8.9","%","","3.80%","19.10%","67"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","Men","Men/Women/All","Suicide attempts","Suicide thoughts/suicide attempts/self harm","5.1","%","","2.30%","10.70%","152"
