"Title","Suicidal thoughts or attempts and self-harm in adults"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"

"Suicidal thoughts and self harm","Ethnicity",""
"Suicidal thoughts","Asian","13.1"
"Suicidal thoughts","Black","20.7"
"Suicidal thoughts","Mixed/Other","17.9"
"Suicidal thoughts","White - British","21.6"
"Suicidal thoughts","White - Other","20.8"
"Suicide attempts","Asian","5.3"
"Suicide attempts","Black","6.1"
"Suicide attempts","Mixed/Other","5.7"
"Suicide attempts","White - British","6.9"
"Suicide attempts","White - Other","6.1"
"Self-harm","Asian","5.5"
"Self-harm","Black","4.8"
"Self-harm","Mixed/Other","4.2"
"Self-harm","White - British","8.1"
"Self-harm","White - Other","6.1"
