Title, Adults with post-traumatic stress disorder (PTSD) in the month prior to survey
Time period, Adults with post-traumatic stress disorder (PTSD) in the month prior to survey
Location, 2014
Source, Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing England 2014
Department, NHS Digital
Last update, 2014

Measure,Time,Time_type,Geography,Ethnicity,Ethnicity_type,Sex,Sex_type,PTSD,PTSD_type,Value,Value type,Value Note,Lower CI,Upper CI,unweighted sample size
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - British,5,All,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,31.9,%,,,,"5,833"
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - Other,5,All,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,32.7,%,,,,388
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Black,5,All,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,35.2,%,,,,170
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Asian,5,All,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,24.8,%,,,,303
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Mixed/Other,5,All,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,37.4,%,,,,132
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - British,5,All,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,4.2,%,,3.60%,4.90%,"5,833"
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - Other,5,All,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,2.2,%,,1.00%,4.70%,388
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Black,5,All,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,8.3,%,,4.50%,14.70%,170
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Asian,5,All,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,5.8,%,,3.30%,9.90%,303
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Mixed/Other,5,All,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,5.8,%,,3.00%,11.00%,132
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - British,5,Men,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,32.3,%,,,,"2,399"
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - Other,5,Men,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,29.8,%,,,,141
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Black,5,Men,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,32.5,%,,,,61
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Asian,5,Men,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,24.5,%,,,,127
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Mixed/Other,5,Men,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,44.7,%,,,,47
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - British,5,Men,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,3.5,%,,2.70%,4.50%,"2,399"
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - Other,5,Men,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,1.8,%,,0.50%,5.80%,141
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Black,5,Men,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,5.1,%,,2.10%,12.10%,61
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Asian,5,Men,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,6.1,%,,2.80%,13.00%,127
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Mixed/Other,5,Men,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,5.4,%,,1.70%,15.70%,47
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - British,5,Women,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,31.5,%,,,,"3,434"
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - Other,5,Women,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,35.3,%,,,,247
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Black,5,Women,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,37.4,%,,,,109
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Asian,5,Women,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,25.2,%,,,,176
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Mixed/Other,5,Women,Men/Women/All,Trauma experienced,Trauma experienced/PTSD screen positive,30.9,%,,,,85
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - British,5,Women,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,4.9,%,,4.10%,5.90%,"3,434"
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,White - Other,5,Women,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,2.5,%,,0.90%,6.80%,247
Screen for probable post-traumatic stress disorder (PTSD),2014,Year,England,Black,5,Women,Men/Women/All,PTSD screen positive,Trauma experienced/PTSD screen positive,10.9,%,,5.60%,20.30%,109
