"Title","Driving licence holders by ethnicity"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","National Travel Survey"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"

"","All","Asian","Black","Mixed","White","Other"
"Time","%","%","%","%","%","%"
"2002/06","71","58","51","54","73","54"
"2003/07","71","57","51","54","73","54"
"2004/08","72","57","51","53","74","53"
"2005/09","72","58","51","55","74","51"
"2006/10","72","58","50","57","74","54"
"2007/11","73","58","49","53","75","54"
"2008/12","73","58","50","55","75","55"
"2009/13","73","60","50","56","75","56"
"2010/14","73","60","51","56","75","59"
"2011/15","73","60","52","57","75","58"
