"Title","Driving licences"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","8 September 2016"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Numerator","Denominator","Unweighted_Sample_size"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","71","52520","73877","72498"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","58","2018","3504","3298"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51","934","1832","1728"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","54","356","655","611"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","Other","National Travel Survey broad ethnicity classification","54","419","776","726"
"Proportion of people with full car driving licence","2002/06","5-year rolling average","White","National Travel Survey broad ethnicity classification","73","48764","67070","66097"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","71","53462","74890","73355"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","57","2091","3679","3468"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51","938","1845","1761"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","54","396","737","684"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","Other","National Travel Survey broad ethnicity classification","54","429","799","739"
"Proportion of people with full car driving licence","2003/07","5-year rolling average","White","National Travel Survey broad ethnicity classification","73","49565","67773","66646"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","72","53622","74673","73089"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","57","2131","3729","3454"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","51","924","1826","1741"
"Proportion of people with full car driving licence","2004/08","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","53","406","760","691"
