"Title","Driving licences"
"Location","England"
"Time period","2002/06 to 2013/17 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-08"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Value_type","Weighted_Sample_Individuals_with_full_car_licence","Unweighted_Sample_Individuals_with_full_car_licence","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Proportion of people with full car driving licence","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","71","%","52520","51840","73877","72498"
"Proportion of people with full car driving licence","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","58","%","2018","1919","3504","3298"
"Proportion of people with full car driving licence","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","51","%","934","885","1832","1728"
"Proportion of people with full car driving licence","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","54","%","356","336","655","611"
"Proportion of people with full car driving licence","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","54","%","419","395","776","726"
"Proportion of people with full car driving licence","2002-2006","5-year rolling average","White","ONS 2011 5+1","73","%","48764","48276","67070","66097"
"Proportion of people with full car driving licence","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","71","%","53462","52748","74890","73355"
"Proportion of people with full car driving licence","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","57","%","2091","2003","3679","3468"
"Proportion of people with full car driving licence","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","51","%","938","901","1845","1761"
"Proportion of people with full car driving licence","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","54","%","396","372","737","684"
"Proportion of people with full car driving licence","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","54","%","429","399","799","739"
"Proportion of people with full car driving licence","2003-2007","5-year rolling average","White","ONS 2011 5+1","73","%","49565","49028","67773","66646"
"Proportion of people with full car driving licence","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","72","%","53622","52865","74673","73089"
"Proportion of people with full car driving licence","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","57","%","2131","2012","3729","3454"
"Proportion of people with full car driving licence","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","51","%","924","883","1826","1741"
"Proportion of people with full car driving licence","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","53","%","406","375","760","691"
"Proportion of people with full car driving licence","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","53","%","434","405","819","751"
"Proportion of people with full car driving licence","2004-2008","5-year rolling average","White","ONS 2011 5+1","74","%","49676","49140","67478","66391"
"Proportion of people with full car driving licence","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","72","%","54198","53656","74979","73652"
"Proportion of people with full car driving licence","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","58","%","2290","2175","3965","3701"
"Proportion of people with full car driving licence","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","51","%","919","884","1790","1710"
"Proportion of people with full car driving licence","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","55","%","441","413","800","740"
"Proportion of people with full car driving licence","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","51","%","428","397","835","753"
"Proportion of people with full car driving licence","2005-2009","5-year rolling average","White","ONS 2011 5+1","74","%","50069","49735","67526","66684"
"Proportion of people with full car driving licence","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","72","%","53555","53201","73882","72707"
"Proportion of people with full car driving licence","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","58","%","2429","2280","4156","3845"
"Proportion of people with full car driving licence","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","50","%","942","911","1886","1795"
"Proportion of people with full car driving licence","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","57","%","473","439","834","770"
"Proportion of people with full car driving licence","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","54","%","448","420","831","750"
"Proportion of people with full car driving licence","2006-2010","5-year rolling average","White","ONS 2011 5+1","74","%","49208","49094","66109","65479"
"Proportion of people with full car driving licence","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","73","%","52638","52439","72597","71615"
"Proportion of people with full car driving licence","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","58","%","2450","2305","4224","3902"
