"Title","Police workforce by ethnicity and area"
"Location","England and Wales"
"Time period","2016"
"Data source","[Police workforce, England and Wales, 31 March 2016] (https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Time","Time_type","Ethnicity","Geography","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"2016","As at 31st March","Asian","All - including BTP","2,982","3,027","3,820,390","78.07","2%","7%"
"2016","As at 31st March","Asian","Avon & Somerset","8","8","33,005","24.24","0%","2%"
"2016","As at 31st March","Asian","Bedfordshire","37","38","81,480","45.43","3%","13%"
"2016","As at 31st March","Asian","Cambridgeshire","11","11","39,535","27.82","1%","5%"
"2016","As at 31st March","Asian","Cheshire","7","7","12,794","54.71","0%","1%"
"2016","As at 31st March","Asian","Cleveland","14","15","17,419","83.13","1%","3%"
"2016","As at 31st March","Asian","Cumbria","4","4","2,913","137.32","0%","1%"
"2016","As at 31st March","Asian","Derbyshire","41","41","36,871","110.47","2%","4%"
"2016","As at 31st March","Asian","Devon & Cornwall","4","4","11,694","31.64","0%","1%"
"2016","As at 31st March","Asian","Dorset","2","2","10,694","18.70","0%","1%"
"2016","As at 31st March","Asian","Durham","6","6","5,114","117.32","1%","1%"
"2016","As at 31st March","Asian","Dyfed-Powys","2","2","4,274","46.79","0%","1%"
"2016","As at 31st March","Asian","Essex","8","8","38,954","20.54","0%","2%"
"2016","As at 31st March","Asian","Gloucestershire","6","6","10,522","52.27","1%","2%"
"2016","As at 31st March","Asian","Greater Manchester","131","132","246,094","53.07","2%","9%"
"2016","As at 31st March","Asian","Gwent","7","7","10,076","69.47","1%","2%"
"2016","As at 31st March","Asian","Hampshire","24","26","57,352","42.65","1%","3%"
"2016","As at 31st March","Asian","Hertfordshire","34","34","64,119","52.75","2%","6%"
"2016","As at 31st March","Asian","Humberside","5","5","12,191","41.01","0%","1%"
"2016","As at 31st March","Asian","Kent","36","36","54,186","65.52","1%","3%"
"2016","As at 31st March","Asian","Lancashire","59","62","108,784","54.12","2%","7%"
"2016","As at 31st March","Asian","Leicestershire","86","88","155,740","55.08","5%","15%"
"2016","As at 31st March","Asian","Lincolnshire","5","5","5,579","89.62","0%","1%"
"2016","As at 31st March","Asian","London, City of","16","16","N/A","N/A","2%","9%"
"2016","As at 31st March","Asian","Merseyside","11","11","18,851","58.09","0%","1%"
"2016","As at 31st March","Asian","Metropolitan Police","1,526","1,546","1,386,619","110.03","5%","17%"
"2016","As at 31st March","Asian","Norfolk","3","3","9,809","30.58","0%","1%"
"2016","As at 31st March","Asian","North Wales","2","2","6,336","31.57","0%","1%"
"2016","As at 31st March","Asian","North Yorkshire","4","4","9,914","40.35","0%","1%"
"2016","As at 31st March","Asian","Northamptonshire","11","13","22,581","50.88","1%","3%"
"2016","As at 31st March","Asian","Northumbria","14","14","37,782","37.05","0%","3%"
"2016","As at 31st March","Asian","Nottinghamshire","40","41","48,248","82.74","2%","4%"
