"Ethnicity","%","Number of non-decent homes ('000s)","All households ('000s)"
"Asian","","",""
"Bangladeshi","14","19","135"
"Chinese","23","20","87"
"Indian","21","98","463"
"Pakistani","28","93","331"
"Asian other","23","51","224"
"Black","","",""
"Black African","19","78","414"
"Black Caribbean","19","63","334"
"Black other","?","?","?"
"Mixed","","",""
"Mixed White/Asian","?","?","?"
"Mixed White/Black African","26","19","74"
"Mixed White/Black Caribbean","8","8","96"
"Mixed other","23","16","69"
"White","","",""
"White British","20","3,731","19,010"
"White Irish","11","22","192"
"White Gypsy/Traveller","?","?","?"
"White other","19","213","1,129"
"Other","","",""
"Arab","20","17","85"
"Any other","17","41","247"
