"Title","HIV infection with late diagnosis by ethnicity"
"Location","England"
"Time period","2009/11 to 2015/17"
"Data source","Public Health Outcomes Framework"
"Data source link","https://fingertips.phe.org.uk/profile/public-health-outcomes-framework"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Time","Ethnicity","New diagnoses","% late-stage"
"2015 - 17","All","10,848","41.1"
"2015 - 17","Asian","640","47.8"
"2015 - 17","Black","",""
"2015 - 17","Black African","1,945","55.2"
"2015 - 17","Black Caribbean","270","48.5"
"2015 - 17","Black other","195","51.3"
"2015 - 17","White","6,255","36.9"
"2015 - 17","Other inc Mixed","900","36.2"
"2014 - 16","All","12,636","40.4"
"2014 - 16","Asian","750","47.6"
"2014 - 16","Black","",""
"2014 - 16","Black African","2,430","55.6"
"2014 - 16","Black Caribbean","325","45.4"
"2014 - 16","Black other","235","46.6"
"2014 - 16","White","7,365","35.3"
"2014 - 16","Other inc Mixed","1,000","35.6"
"2013 - 15","All","13,568","40.5"
"2013 - 15","Asian","805","45.1"
"2013 - 15","Black","",""
"2013 - 15","Black African","2,770","56.5"
"2013 - 15","Black Caribbean","410","44.6"
"2013 - 15","Black other","255","46.7"
"2013 - 15","White","7,930","34.7"
"2013 - 15","Other inc Mixed","985","37.0"
"2012 - 14","All","14,045","43.2"
"2012 - 14","Asian","830","48.1"
"2012 - 14","Black","",""
"2012 - 14","Black African","3,200","59.3"
"2012 - 14","Black Caribbean","430","45.6"
"2012 - 14","Black other","290","50.2"
"2012 - 14","White","8,095","36.5"
"2012 - 14","Other inc Mixed","935","38.7"
"2011 - 13","All","14,312","45.8"
"2011 - 13","Asian","790","48.7"
"2011 - 13","Black","",""
"2011 - 13","Black African","3,680","61.4"
"2011 - 13","Black Caribbean","445","48.8"
"2011 - 13","Black other","300","52.7"
"2011 - 13","White","8,025","38.7"
"2011 - 13","Other inc Mixed","870","40.2"
"2010 - 12","All","14,663","48.5"
"2010 - 12","Asian","740","53.0"
"2010 - 12","Black","",""
"2010 - 12","Black African","4,245","62.8"
"2010 - 12","Black Caribbean","455","51.8"
"2010 - 12","Black other","305","55.6"
"2010 - 12","White","7,890","40.6"
"2010 - 12","Other inc Mixed","885","42.2"
"2009 - 11","All","15,016","50.2"
"2009 - 11","Asian","665","51.4"
"2009 - 11","Black","",""
"2009 - 11","Black African","4,760","64.0"
"2009 - 11","Black Caribbean","515","49.3"
"2009 - 11","Black other","315","57.0"
"2009 - 11","White","7,790","42.0"
"2009 - 11","Other inc Mixed","855","44.5"
