"Ethnicity","Local authority","Score","Pupils"
"All","County Durham","44.6","4,608"
"All","Darlington","45.3","1,066"
"All","Gateshead","46.8","1,909"
"All","Hartlepool","44.0","976"
"All","Middlesbrough","43.2","1,386"
"All","Newcastle upon Tyne","43.3","2,362"
"All","North Tyneside","47.0","1,959"
"All","Northumberland","44.7","3,145"
"All","Redcar and Cleveland","44.0","1,584"
"All","South Tyneside","43.0","1,500"
"All","Stockton-on-Tees","45.6","1,913"
"All","Sunderland","43.8","2,769"
"All","Blackburn with Darwen","46.4","1,746"
"All","Blackpool","38.8","1,190"
"All","Bolton","43.7","3,263"
"All","Bury","46.0","2,120"
"All","Cheshire East","48.9","3,582"
"All","Cheshire West and Chester","46.5","3,328"
"All","Cumbria","46.3","4,915"
"All","Halton","44.9","1,395"
"All","Knowsley","37.6","978"
"All","Lancashire","45.7","12,078"
"All","Liverpool","44.2","4,467"
"All","Manchester","43.4","4,574"
"All","Oldham","43.6","2,918"
"All","Rochdale","42.5","2,238"
"All","Salford","41.7","2,057"
"All","Sefton","44.9","3,013"
"All","St. Helens","43.8","1,693"
"All","Stockport","48.2","2,649"
"All","Tameside","44.8","2,407"
"All","Trafford","55.6","2,715"
"All","Warrington","47.0","2,277"
"All","Wigan","46.2","3,337"
"All","Wirral","48.1","3,349"
"All","Barnsley","44.0","2,110"
"All","Bradford","42.4","5,786"
"All","Calderdale","48.2","2,475"
"All","Doncaster","43.6","2,996"
"All","East Riding of Yorkshire","47.2","3,370"
"All","Kingston upon Hull, City of","42.6","2,253"
"All","Kirklees","45.3","4,383"
"All","Leeds","45.1","7,427"
"All","North East Lincolnshire","43.8","1,592"
"All","North Lincolnshire","44.8","1,749"
"All","North Yorkshire","49.6","5,904"
"All","Rotherham","45.0","3,028"
"All","Sheffield","44.6","5,090"
"All","Wakefield","45.5","3,402"
"All","York","49.3","1,608"
"All","Derby","42.6","2,741"
"All","Derbyshire","45.6","7,249"
"All","Leicester","42.8","3,310"
"All","Leicestershire","45.7","6,867"
"All","Lincolnshire","46.4","7,549"
"All","Northamptonshire","44.7","7,287"
"All","Nottingham","40.3","2,505"
"All","Nottinghamshire","47.8","7,511"
"All","Rutland","52.2","473"
"All","Birmingham","46.1","12,127"
"All","Coventry","42.8","3,374"
"All","Dudley","43.7","3,484"
"All","Herefordshire, County of","45.7","1,718"
"All","Sandwell","42.4","3,564"
"All","Shropshire","46.4","2,777"
"All","Solihull","47.1","2,917"
"All","Staffordshire","44.9","8,414"
"All","Stoke-on-Trent","43.3","2,198"
"All","Telford and Wrekin","46.4","1,835"
"All","Walsall","43.2","3,169"
"All","Warwickshire","49.0","5,489"
"All","Wolverhampton","45.0","2,505"
"All","Worcestershire","46.4","5,348"
"All","Bedford","45.9","1,827"
"All","Cambridgeshire","47.7","5,635"
"All","Central Bedfordshire","45.5","2,591"
"All","Essex","46.7","14,378"
"All","Hertfordshire","49.7","12,734"
"All","Luton","43.5","2,433"
"All","Norfolk","45.0","7,864"
"All","Peterborough","42.1","2,237"
"All","Southend-on-Sea","50.4","2,103"
"All","Suffolk","44.7","6,718"
"All","Thurrock","44.4","1,633"
"All","Camden","48.3","1,513"
"All","City of London","N/A","N/A"
"All","Hackney","49.4","2,002"
"All","Hammersmith and Fulham","50.9","1,313"
"All","Haringey","46.5","2,127"
"All","Islington","45.6","1,377"
"All","Kensington and Chelsea","55.0","739"
"All","Lambeth","44.3","1,949"
"All","Lewisham","44.2","2,247"
"All","Newham","48.4","3,523"
"All","Southwark","50.5","2,328"
"All","Tower Hamlets","47.2","2,623"
"All","Wandsworth","49.5","1,695"
"All","Westminster","52.6","1,535"
"All","Barking and Dagenham","46.7","2,185"
"All","Barnet","54.7","3,528"
"All","Bexley","49.0","3,141"
"All","Brent","49.0","2,908"
"All","Bromley","49.8","3,258"
"All","Croydon","45.0","3,579"
"All","Ealing","48.7","2,722"
"All","Enfield","46.2","3,487"
"All","Greenwich","45.9","2,166"
"All","Harrow","49.7","2,049"
"All","Havering","47.5","2,794"
"All","Hillingdon","47.1","3,075"
"All","Hounslow","48.0","2,641"
"All","Kingston upon Thames","55.5","1,517"
"All","Merton","50.2","1,420"
"All","Redbridge","51.2","3,458"
"All","Richmond upon Thames","52.7","1,374"
"All","Sutton","56.2","2,759"
"All","Waltham Forest","45.5","2,486"
"All","Bracknell Forest","46.3","1,119"
"All","Brighton and Hove","46.8","2,197"
"All","Buckinghamshire","52.9","5,599"
"All","East Sussex","45.3","4,812"
"All","Hampshire","47.0","12,740"
"All","Isle of Wight","40.1","1,251"
"All","Kent","46.3","15,407"
"All","Medway","45.7","2,910"
"All","Milton Keynes","44.9","2,841"
"All","Oxfordshire","47.6","5,945"
"All","Portsmouth","42.3","1,627"
"All","Reading","49.6","1,134"
"All","Slough","52.2","1,648"
"All","Southampton","44.2","1,845"
"All","Surrey","50.0","10,067"
"All","West Berkshire","47.4","1,790"
"All","West Sussex","46.8","7,782"
"All","Windsor and Maidenhead","49.4","1,547"
"All","Wokingham","51.7","1,642"
"All","Bath and North East Somerset","47.5","2,001"
"All","Bournemouth","48.0","1,611"
"All","Bristol, City of","44.0","3,236"
"All","Cornwall","45.7","5,133"
"All","Devon","46.5","6,704"
"All","Dorset","45.2","3,988"
"All","Gloucestershire","48.4","6,165"
"All","Isles of Scilly","45.0","19"
"All","North Somerset","46.0","2,086"
"All","Plymouth","44.5","2,515"
"All","Poole","51.5","1,341"
"All","Somerset","45.7","4,837"
"All","South Gloucestershire","43.7","2,586"
"All","Swindon","42.9","2,038"
"All","Torbay","49.3","1,316"
"All","Wiltshire","46.6","4,732"
