"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, religion of school and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25/01/2018"

"Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","47.1","44.8","49.5"
"All","Church of England schools","48.1","46.1","50.2"
"All","Hindu School","54.9","53.6","56.8"
"All","Jewish schools","58.6","56.7","60.5"
"All","Muslim schools","56.6","55.9","56.9"
"All","No religious character","46.9","44.5","49.3"
"All","Other Christian faith schools","48.2","46.5","50.1"
"All","Roman Catholic schools","49.0","46.8","51.1"
"All","Sikh schools","54.5","52.6","56.7"
"Asian","All state-funded mainstream schools","50.5","48.1","52.9"
"Asian","Church of England schools","51.9","51.0","53.1"
"Asian","Hindu School","!","!","!"
"Asian","Jewish schools","58.2","55.1","63.5"
"Asian","Muslim schools","57.1","56.4","57.4"
"Asian","No religious character","50.0","47.6","52.5"
"Asian","Other Christian faith schools","58.9","57.0","61.4"
"Asian","Roman Catholic schools","52.2","49.7","54.9"
"Asian","Sikh schools","55.0","53.3","57.2"
"Black","All state-funded mainstream schools","45.6","42.5","48.6"
"Black","Church of England schools","46.3","42.7","49.6"
"Black","Hindu School","!","!","!"
"Black","Jewish schools","42.5","!","!"
"Black","Muslim schools","50.1","51.5","48.8"
"Black","No religious character","45.0","41.9","48.1"
"Black","Other Christian faith schools","46.3","42.8","50.5"
"Black","Roman Catholic schools","47.6","45.1","49.6"
"Black","Sikh schools","!","N/A","!"
"Chinese","All state-funded mainstream schools","63.2","61.3","65.2"
"Chinese","Church of England schools","64.2","65.3","62.3"
"Chinese","Hindu School","!","!","!"
"Chinese","Jewish schools","58.5","!","!"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","63.1","60.7","65.6"
"Chinese","Other Christian faith schools","66.8","65.4","69.1"
"Chinese","Roman Catholic schools","61.5","60.3","62.3"
"Chinese","Sikh schools","N/A","N/A","N/A"
"Mixed","All state-funded mainstream schools","47.9","45.4","50.3"
"Mixed","Church of England schools","48.7","47.5","50.1"
"Mixed","Hindu School","!","!","!"
"Mixed","Jewish schools","52.4","50.9","53.7"
"Mixed","Muslim schools","!","!","!"
"Mixed","No religious character","47.5","45.0","50.1"
"Mixed","Other Christian faith schools","52.0","51.6","52.5"
"Mixed","Roman Catholic schools","49.0","46.4","51.2"
"Mixed","Sikh schools","!","!","!"
"White","All state-funded mainstream schools","46.8","44.5","49.1"
"White","Church of England schools","47.9","45.8","50.0"
"White","Hindu School","!","!","!"
"White","Jewish schools","57.8","55.3","60.0"
"White","Muslim schools","!","N/A","!"
"White","No religious character","46.5","44.2","48.8"
"White","Other Christian faith schools","46.8","45.0","48.6"
"White","Roman Catholic schools","48.8","46.6","50.9"
"White","Sikh schools","!","N/A","!"
