"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, basis for school admission and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25/01/2018"

"Ethnicity","Admissions basis","All","Boys","Girls"
"All","All state-funded mainstream schools","47.1","44.8","49.5"
"All","Non-selective schools in highly selective areas","42.1","39.8","44.3"
"All","Non-selective schools in other areas (inc. low selective areas)","46.5","44.1","48.9"
"All","Selective schools","69.3","67.8","70.9"
"Asian","All state-funded mainstream schools","50.5","48.1","52.9"
"Asian","Non-selective schools in highly selective areas","46.1","43.4","49.0"
"Asian","Non-selective schools in other areas (inc. low selective areas)","48.8","46.3","51.4"
"Asian","Selective schools","72.9","71.9","74.0"
"Black","All state-funded mainstream schools","45.6","42.5","48.6"
"Black","Non-selective schools in highly selective areas","45.2","41.9","48.5"
"Black","Non-selective schools in other areas (inc. low selective areas)","44.8","41.8","47.8"
"Black","Selective schools","70.5","68.3","72.3"
"Chinese","All state-funded mainstream schools","63.2","61.3","65.2"
"Chinese","Non-selective schools in highly selective areas","55.6","52.3","60.1"
"Chinese","Non-selective schools in other areas (inc. low selective areas)","60.2","58.1","62.3"
"Chinese","Selective schools","76.8","75.1","78.8"
"Mixed","All state-funded mainstream schools","47.9","45.4","50.3"
"Mixed","Non-selective schools in highly selective areas","43.7","40.7","46.8"
"Mixed","Non-selective schools in other areas (inc. low selective areas)","46.8","44.3","49.2"
"Mixed","Selective schools","71.4","69.7","73.1"
"White","All state-funded mainstream schools","46.8","44.5","49.1"
"White","Non-selective schools in highly selective areas","41.5","39.4","43.7"
"White","Non-selective schools in other areas (inc. low selective areas)","46.3","44.0","48.6"
"White","Selective schools","68.0","66.3","69.7"
