"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"Academies and free schools","47.8","343,917","51.9","32,383","46.4","16,747","64.7","1,466","48.8","15,314","47.3","268,974"
"All state-funded mainstream schools","47.1","517,756","50.5","52,047","45.6","27,385","63.2","2,053","47.9","23,009","46.8","398,259"
"All state-funded schools","46.3","527,859","49.8","52,787","44.8","27,922","62.6","2,073","47.0","23,483","45.9","406,342"
"Converter academies","49.9","250,283","54.1","22,782","47.9","10,066","66.5","1,183","51.0","10,770","49.4","199,607"
"Free schools","48.7","3,362","54.0","847","46.2","260","56.3","19","48.4","196","46.9","1,860"
"Further education colleges with provision for 14- to 16-year-olds","14.2","1,175","1.5","12","2.0","11","!","!","3.8","7","9.3","78"
"Local authority maintained mainstream schools","46.0","172,106","48.2","19,620","44.4","10,604","59.3","583","46.1","7,638","45.7","128,774"
"Sponsored academies","42.2","86,459","46.2","8,424","44.3","6,204","56.8","261","43.6","4,182","41.4","64,659"
"State-funded special schools","2.7","10,103","1.1","740","1.7","537","0.4","20","3.5","474","2.9","8,083"
"Studio schools","36.5","1,258","40.6","78","43.5","27","!","!","34.9","46","36.1","1,046"
"University technical colleges","37.5","2,555","39.6","252","36.3","190","!","!","35.8","120","37.6","1,802"
