"Title","Satisfaction with GP out-of-hours services by ethnicity"
"Location","England"
"Time period","2011/12 to 2014/15"
"Data source","Public Health Outcomes Framework"
"Data source link","https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01772&mode=documentation&top=yes"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","August 2015"

"","2011/12","2012/13","2013/14","2014/15"
"Ethnicity","%","%","%","%"
"All","70.9","70.2","66.2","68.6"
"Asian","","","",""
"Bangladeshi","65.0","63.8","66.3","59.1"
"Chinese","51.8","56.8","47.1","59.0"
"Indian","60.2","59.6","58.4","58.2"
"Pakistani","63.7","61.8","61.7","65.3"
"Asian other","62.9","65.2","60.6","61.2"
"Black","","","",""
"Black African","69.3","67.6","68.8","73.3"
"Black Caribbean","71.3","65.3","65.7","70.1"
"Black other","66.8","70.6","63.2","69.2"
"Mixed","","","",""
"Mixed White/Asian","61.7","60.1","61.3","68.2"
"Mixed White/Black African","58.2","64.2","52.5","67.3"
"Mixed White/Black Caribbean","77.7","69.7","64.3","68.1"
"Mixed other","67.5","67.4","53.3","65.9"
"White","","","",""
"White British","72.3","71.7","67.2","69.7"
"White Irish","73.6","68.4","68.5","71.3"
"White Gypsy/Traveller","66.0","59.6","67.2","75.2"
"White other","65.1","63.3","61.4","64.0"
"Other","","","",""
"Arab","67.7","63.2","65.6","62.7"
"Any other","69.0","71.1","67.9","69.7"
"Unknown","66.3","65.2","58.0","59.9"
