"Title","Satisfaction with GP out-of-hours services by ethnicity"
"Location","England"
"Time period","2011/12 to 2014/15"
"Data source","Public Health Outcomes Framework https://indicators.hscic.gov.uk/webview/index.jsp?v=2&submode=ddi&study=http%3A%2F%2F192.168.229.23%3A80%2Fobj%2FfStudy%2FP01772&mode=documentation&top=yes"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","All","ONS 18+1","England","68.6"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","All","ONS 18+1","England","66.2"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","All","ONS 18+1","England","70.2"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","All","ONS 18+1","England","70.9"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Asian - Any other","ONS 18+1","England","61.2"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Asian - Any other","ONS 18+1","England","60.6"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Asian - Any other","ONS 18+1","England","65.2"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Asian - Any other","ONS 18+1","England","62.9"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Asian - Bangladeshi","ONS 18+1","England","59.1"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Asian - Bangladeshi","ONS 18+1","England","66.3"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Asian - Bangladeshi","ONS 18+1","England","63.8"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Asian - Bangladeshi","ONS 18+1","England","65.0"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Asian - Chinese","ONS 18+1","England","59.0"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Asian - Chinese","ONS 18+1","England","47.1"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Asian - Chinese","ONS 18+1","England","56.8"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Asian - Chinese","ONS 18+1","England","51.8"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Asian - Indian","ONS 18+1","England","58.2"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Asian - Indian","ONS 18+1","England","58.4"
"Patient Satisfaction with GP out-of-hours services","2012/13","July 2012 to March 2013","Asian - Indian","ONS 18+1","England","59.6"
"Patient Satisfaction with GP out-of-hours services","2011/12","July 2011 to March 2012","Asian - Indian","ONS 18+1","England","60.2"
"Patient Satisfaction with GP out-of-hours services","2014/15","July 2014 to March 2015","Asian - Pakistani","ONS 18+1","England","65.3"
"Patient Satisfaction with GP out-of-hours services","2013/14","July 2013 to March 2014","Asian - Pakistani","ONS 18+1","England","61.7"
