"Title","Prevalence of screening positive for a personality disorder in adults, England, 2014"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014 http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"

"Measure","Time","Time_type","Ethnicity","Gender","Value"
"Screen positive for personality disorder","2014","Year","White - British","All","13.9"
"Screen positive for personality disorder","2014","Year","White - Other","All","14.2"
"Screen positive for personality disorder","2014","Year","Black","All","17"
"Screen positive for personality disorder","2014","Year","Asian","All","17.3"
"Screen positive for personality disorder","2014","Year","Mixed/Other","All","16.7"
"Screen positive for personality disorder","2014","Year","White - British","Men","13"
"Screen positive for personality disorder","2014","Year","White - Other","Men","16.8"
"Screen positive for personality disorder","2014","Year","Black","Men","16.1"
"Screen positive for personality disorder","2014","Year","Asian","Men","22.7"
"Screen positive for personality disorder","2014","Year","Mixed/Other","Men","10.2"
"Screen positive for personality disorder","2014","Year","White - British","Women","14.9"
"Screen positive for personality disorder","2014","Year","White - Other","Women","11.7"
"Screen positive for personality disorder","2014","Year","Black","Women","17.7"
"Screen positive for personality disorder","2014","Year","Asian","Women","10.8"
"Screen positive for personality disorder","2014","Year","Mixed/Other","Women","21.9"
