"Title","Prevalence of personality disorder in adults"
"Location","England"
"Time period","2014"
"Data source","NHS Digital"
"Data source link","http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2014"
"Measure","Time","Time_type","Geography","Ethnicity","Ethnicity_type","Sex","Sex_type","Value","Value type","Value Note","Lower CI","Upper CI","unweighted sample size"
"Screen positive for personality disorder","2014","Year","England","White - British","5","All","Men/Women/All","13.9","%","","12.80%","15.10%","6,023"
"Screen positive for personality disorder","2014","Year","England","White - Other","5","All","Men/Women/All","14.2","%","","10.70%","18.70%","397"
"Screen positive for personality disorder","2014","Year","England","Black","5","All","Men/Women/All","17","%","","10.30%","26.80%","181"
"Screen positive for personality disorder","2014","Year","England","Asian","5","All","Men/Women/All","17.3","%","","10.50%","27.20%","325"
"Screen positive for personality disorder","2014","Year","England","Mixed/Other","5","All","Men/Women/All","16.7","%","","9.00%","28.80%","134"
"Screen positive for personality disorder","2014","Year","England","White - British","5","Men","Men/Women/All","13","%","","11.50%","14.80%","2,480"
"Screen positive for personality disorder","2014","Year","England","White - Other","5","Men","Men/Women/All","16.8","%","","10.80%","25.30%","147"
"Screen positive for personality disorder","2014","Year","England","Black","5","Men","Men/Women/All","16.1","%","","7.00%","33.10%","63"
"Screen positive for personality disorder","2014","Year","England","Asian","5","Men","Men/Women/All","22.7","%","","11.90%","38.90%","139"
"Screen positive for personality disorder","2014","Year","England","Mixed/Other","5","Men","Men/Women/All","10.2","%","","3.80%","24.80%","49"
"Screen positive for personality disorder","2014","Year","England","White - British","5","Women","Men/Women/All","14.9","%","","13.30%","16.50%","3,543"
"Screen positive for personality disorder","2014","Year","England","White - Other","5","Women","Men/Women/All","11.7","%","","8.60%","15.80%","250"
"Screen positive for personality disorder","2014","Year","England","Black","5","Women","Men/Women/All","17.7","%","","9.60%","30.50%","118"
"Screen positive for personality disorder","2014","Year","England","Asian","5","Women","Men/Women/All","10.8","%","","5.80%","19.20%","186"
"Screen positive for personality disorder","2014","Year","England","Mixed/Other","5","Women","Men/Women/All","21.9","%","","9.90%","41.70%","85"
