"Title","Average custodial sentence length by ethnicity and sex of offender"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Year","Men","Women"
"Asian","2009","20","16"
"Asian","2010","20","15"
"Asian","2011","22","18"
"Asian","2012","23","15"
"Asian","2013","23","14"
"Asian","2014","25","19"
"Asian","2015","25","19"
"Asian","2016","25","14"
"Black","2009","21","14"
"Black","2010","22","14"
"Black","2011","23","16"
"Black","2012","24","16"
"Black","2013","25","14"
"Black","2014","25","14"
"Black","2015","26","15"
"Black","2016","25","14"
"Mixed","2009","17","8"
"Mixed","2010","18","11"
"Mixed","2011","18","14"
"Mixed","2012","20","14"
"Mixed","2013","20","10"
"Mixed","2014","21","9"
"Mixed","2015","21","12"
"Mixed","2016","22","10"
"White","2009","15","9"
"White","2010","15","9"
"White","2011","16","10"
"White","2012","16","10"
"White","2013","18","10"
"White","2014","18","10"
"White","2015","19","10"
"White","2016","19","10"
"Chinese and other","2009","17","12"
"Chinese and other","2010","17","13"
"Chinese and other","2011","18","12"
"Chinese and other","2012","18","12"
"Chinese and other","2013","19","9"
"Chinese and other","2014","19","17"
"Chinese and other","2015","22","14"
"Chinese and other","2016","24","12"
