"Year","Ethnicity_type_child","Ethnicity","Sex","Age group","ACSL"
"2009","ONS 5+1 2001","White","Male","All","15"
"2010","ONS 5+1 2001","White","Male","All","15"
"2011","ONS 5+1 2001","White","Male","All","16"
"2012","ONS 5+1 2001","White","Male","All","16"
"2013","ONS 5+1 2001","White","Male","All","18"
"2014","ONS 5+1 2001","White","Male","All","18"
"2015","ONS 5+1 2001","White","Male","All","19"
"2016","ONS 5+1 2001","White","Male","All","19"
"2009","ONS 5+1 2001","White","Female","All","9"
"2010","ONS 5+1 2001","White","Female","All","9"
"2011","ONS 5+1 2001","White","Female","All","10"
"2012","ONS 5+1 2001","White","Female","All","10"
"2013","ONS 5+1 2001","White","Female","All","10"
"2014","ONS 5+1 2001","White","Female","All","10"
"2015","ONS 5+1 2001","White","Female","All","10"
"2016","ONS 5+1 2001","White","Female","All","10"
"2009","ONS 5+1 2001","Black","Male","All","21"
"2010","ONS 5+1 2001","Black","Male","All","22"
"2011","ONS 5+1 2001","Black","Male","All","23"
"2012","ONS 5+1 2001","Black","Male","All","24"
"2013","ONS 5+1 2001","Black","Male","All","25"
"2014","ONS 5+1 2001","Black","Male","All","25"
"2015","ONS 5+1 2001","Black","Male","All","26"
"2016","ONS 5+1 2001","Black","Male","All","25"
"2009","ONS 5+1 2001","Black","Female","All","14"
"2010","ONS 5+1 2001","Black","Female","All","14"
"2011","ONS 5+1 2001","Black","Female","All","16"
"2012","ONS 5+1 2001","Black","Female","All","16"
"2013","ONS 5+1 2001","Black","Female","All","14"
"2014","ONS 5+1 2001","Black","Female","All","14"
"2015","ONS 5+1 2001","Black","Female","All","15"
"2016","ONS 5+1 2001","Black","Female","All","14"
"2009","ONS 5+1 2001","Asian","Male","All","20"
"2010","ONS 5+1 2001","Asian","Male","All","20"
"2011","ONS 5+1 2001","Asian","Male","All","22"
"2012","ONS 5+1 2001","Asian","Male","All","23"
"2013","ONS 5+1 2001","Asian","Male","All","23"
"2014","ONS 5+1 2001","Asian","Male","All","25"
"2015","ONS 5+1 2001","Asian","Male","All","25"
"2016","ONS 5+1 2001","Asian","Male","All","25"
"2009","ONS 5+1 2001","Asian","Female","All","16"
"2010","ONS 5+1 2001","Asian","Female","All","15"
"2011","ONS 5+1 2001","Asian","Female","All","18"
"2012","ONS 5+1 2001","Asian","Female","All","15"
"2013","ONS 5+1 2001","Asian","Female","All","14"
"2014","ONS 5+1 2001","Asian","Female","All","19"
"2015","ONS 5+1 2001","Asian","Female","All","19"
"2016","ONS 5+1 2001","Asian","Female","All","14"
"2009","ONS 5+1 2001","Mixed","Male","All","17"
"2010","ONS 5+1 2001","Mixed","Male","All","18"
"2011","ONS 5+1 2001","Mixed","Male","All","18"
"2012","ONS 5+1 2001","Mixed","Male","All","20"
"2013","ONS 5+1 2001","Mixed","Male","All","20"
"2014","ONS 5+1 2001","Mixed","Male","All","21"
"2015","ONS 5+1 2001","Mixed","Male","All","21"
"2016","ONS 5+1 2001","Mixed","Male","All","22"
"2009","ONS 5+1 2001","Mixed","Female","All","8"
"2010","ONS 5+1 2001","Mixed","Female","All","11"
"2011","ONS 5+1 2001","Mixed","Female","All","14"
"2012","ONS 5+1 2001","Mixed","Female","All","14"
"2013","ONS 5+1 2001","Mixed","Female","All","10"
"2014","ONS 5+1 2001","Mixed","Female","All","9"
"2015","ONS 5+1 2001","Mixed","Female","All","12"
"2016","ONS 5+1 2001","Mixed","Female","All","10"
"2009","ONS 5+1 2001","Chinese and other","Male","All","17"
"2010","ONS 5+1 2001","Chinese and other","Male","All","17"
"2011","ONS 5+1 2001","Chinese and other","Male","All","18"
"2012","ONS 5+1 2001","Chinese and other","Male","All","18"
"2013","ONS 5+1 2001","Chinese and other","Male","All","19"
"2014","ONS 5+1 2001","Chinese and other","Male","All","19"
"2015","ONS 5+1 2001","Chinese and other","Male","All","22"
"2016","ONS 5+1 2001","Chinese and other","Male","All","24"
"2009","ONS 5+1 2001","Chinese and other","Female","All","12"
"2010","ONS 5+1 2001","Chinese and other","Female","All","13"
"2011","ONS 5+1 2001","Chinese and other","Female","All","12"
"2012","ONS 5+1 2001","Chinese and other","Female","All","12"
"2013","ONS 5+1 2001","Chinese and other","Female","All","9"
"2014","ONS 5+1 2001","Chinese and other","Female","All","17"
"2015","ONS 5+1 2001","Chinese and other","Female","All","14"
"2016","ONS 5+1 2001","Chinese and other","Female","All","12"
