"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Type of role","Broad (non-medical) staff group","Value","Value_type","Ethnicity pay gap relative to White by gender","Gender pay gap relative to male by ethnicity"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Female","All","All","2422.7671","£","-0.67%","23.26%"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Female","All","All","2636.5267","£","-9.55%","29.95%"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Female","All","All","2241.8411","£","6.85%","12.13%"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Female","All","All","2407.3476","£","-0.03%","23.44%"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Female","All","All","2406.5852","£","0.00%","20.67%"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Female","All","All","2590.1337","£","-7.63%","29.82%"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Female","All","All","2491.0369","£","-3.51%","26.06%"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Male","All","All","3157.1513","£","-4.07%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Male","All","All","3763.7073","£","-24.06%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Male","All","All","2551.1814","£","15.91%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Male","All","All","3144.5215","£","-3.65%","-"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Male","All","All","3033.7554","£","0.00%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Male","All","All","3690.6309","£","-21.65%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Male","All","All","3369.0428","£","-11.05%","-"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Female","Medical","All","4897.0978","£","4.06%","14.13%"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Medical","All","4760.3378","£","6.74%","15.53%"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Medical","All","4303.4429","£","15.69%","16.31%"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Female","Medical","All","4386.6897","£","14.06%","12.56%"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Female","Medical","All","5104.2749","£","0.00%","13.98%"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Female","Medical","All","4651.6838","£","8.87%","16.39%"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Female","Medical","All","4401.2508","£","13.77%","14.45%"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Male","Medical","All","5702.9826","£","3.89%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Medical","All","5635.6558","£","5.02%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Male","Medical","All","5142.3663","£","13.34%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Mixed/Multiple ethnic groups","ONS 2011 5+1","Jan-18","month","England","Country","Male","Medical","All","5016.8537","£","15.45%","-"
"NHS workforce mean monthly basic pay per full time equivalent","White","ONS 2011 5+1","Jan-18","month","England","Country","Male","Medical","All","5933.7605","£","0.00%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Other","ONS 2011 5+1","Jan-18","month","England","Country","Male","Medical","All","5563.622","£","6.24%","-"
"NHS workforce mean monthly basic pay per full time equivalent","Unknown","ONS 2011 5+1","Jan-18","month","England","Country","Male","Medical","All","5144.9308","£","13.29%","-"
"NHS workforce mean monthly basic pay per full time equivalent","All","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","All","2275.9792","£","0.74%","6.31%"
"NHS workforce mean monthly basic pay per full time equivalent","Asian/Asian British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","All","2209.1371","£","3.65%","1.85%"
"NHS workforce mean monthly basic pay per full time equivalent","Black/African/Caribbean/Black British","ONS 2011 5+1","Jan-18","month","England","Country","Female","Non-medical","All","2160.3229","£","5.78%","-2.98%"
