"Title","Vulnerable households living in social housing by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Reasonable Preference","Value","Numerator"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Homelessness","37","26362"
"White: Irish","ONS 18+1","Homelessness","37","188"
"White: Other","ONS 18+1","Homelessness","43","1744"
"Mixed: White & Black Caribbean","ONS 18+1","Homelessness","50","722"
"Mixed: White & Black African","ONS 18+1","Homelessness","39","203"
"Mixed: White & Asian","ONS 18+1","Homelessness","47","172"
"Mixed: Other","ONS 18+1","Homelessness","51","370"
"Asian/Asian British: Indian","ONS 18+1","Homelessness","40","319"
"Asian/Asian British: Pakistani","ONS 18+1","Homelessness","54","879"
"Asian/Asian British: Bangladeshi","ONS 18+1","Homelessness","36","525"
"Asian/Asian British: Other","ONS 18+1","Homelessness","48","674"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Homelessness","46","1124"
"Black, African, Caribbean or Black British: African","ONS 18+1","Homelessness","50","2164"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Homelessness","45","540"
"Asian/Asian British: Chinese","ONS 18+1","Homelessness","40","71"
"Other Ethnic group: Other","ONS 18+1","Homelessness","50","684"
"White: Gypsy, Irish Traveller","ONS 18+1","Homelessness","50","67"
"Other Ethnic group: Arab","ONS 18+1","Homelessness","52","331"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Insanitary/Unsatisfactory Housing","22","15481"
"White: Irish","ONS 18+1","Insanitary/Unsatisfactory Housing","23","120"
"White: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","33","1313"
"Mixed: White & Black Caribbean","ONS 18+1","Insanitary/Unsatisfactory Housing","24","351"
"Mixed: White & Black African","ONS 18+1","Insanitary/Unsatisfactory Housing","32","164"
"Mixed: White & Asian","ONS 18+1","Insanitary/Unsatisfactory Housing","26","94"
"Mixed: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","22","161"
"Asian/Asian British: Indian","ONS 18+1","Insanitary/Unsatisfactory Housing","28","221"
"Asian/Asian British: Pakistani","ONS 18+1","Insanitary/Unsatisfactory Housing","26","430"
"Asian/Asian British: Bangladeshi","ONS 18+1","Insanitary/Unsatisfactory Housing","48","710"
"Asian/Asian British: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","30","418"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Insanitary/Unsatisfactory Housing","28","677"
"Black, African, Caribbean or Black British: African","ONS 18+1","Insanitary/Unsatisfactory Housing","31","1349"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","37","449"
"Asian/Asian British: Chinese","ONS 18+1","Insanitary/Unsatisfactory Housing","34","59"
"Other Ethnic group: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","24","329"
"White: Gypsy, Irish Traveller","ONS 18+1","Insanitary/Unsatisfactory Housing","23","31"
"Other Ethnic group: Arab","ONS 18+1","Insanitary/Unsatisfactory Housing","20","129"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Medical Welfare","30","21559"
"White: Irish","ONS 18+1","Medical Welfare","30","155"
"White: Other","ONS 18+1","Medical Welfare","16","649"
"Mixed: White & Black Caribbean","ONS 18+1","Medical Welfare","16","224"
"Mixed: White & Black African","ONS 18+1","Medical Welfare","20","103"
"Mixed: White & Asian","ONS 18+1","Medical Welfare","17","63"
"Mixed: Other","ONS 18+1","Medical Welfare","15","107"
"Asian/Asian British: Indian","ONS 18+1","Medical Welfare","21","169"
"Asian/Asian British: Pakistani","ONS 18+1","Medical Welfare","14","230"
"Asian/Asian British: Bangladeshi","ONS 18+1","Medical Welfare","10","145"
"Asian/Asian British: Other","ONS 18+1","Medical Welfare","14","192"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Medical Welfare","18","453"
"Black, African, Caribbean or Black British: African","ONS 18+1","Medical Welfare","11","483"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Medical Welfare","18","213"
"Asian/Asian British: Chinese","ONS 18+1","Medical Welfare","17","30"
"Other Ethnic group: Other","ONS 18+1","Medical Welfare","17","227"
"White: Gypsy, Irish Traveller","ONS 18+1","Medical Welfare","15","20"
"Other Ethnic group: Arab","ONS 18+1","Medical Welfare","14","90"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Hardship","16","11409"
"White: Irish","ONS 18+1","Hardship","17","85"
"White: Other","ONS 18+1","Hardship","13","525"
"Mixed: White & Black Caribbean","ONS 18+1","Hardship","16","230"
"Mixed: White & Black African","ONS 18+1","Hardship","14","74"
"Mixed: White & Asian","ONS 18+1","Hardship","15","55"
"Mixed: Other","ONS 18+1","Hardship","18","127"
"Asian/Asian British: Indian","ONS 18+1","Hardship","17","134"
"Asian/Asian British: Pakistani","ONS 18+1","Hardship","13","215"
"Asian/Asian British: Bangladeshi","ONS 18+1","Hardship","11","159"
"Asian/Asian British: Other","ONS 18+1","Hardship","14","188"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Hardship","15","374"
"Black, African, Caribbean or Black British: African","ONS 18+1","Hardship","13","563"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Hardship","11","127"
"Asian/Asian British: Chinese","ONS 18+1","Hardship","14","25"
"Other Ethnic group: Other","ONS 18+1","Hardship","17","232"
"White: Gypsy, Irish Traveller","ONS 18+1","Hardship","17","23"
"Other Ethnic group: Arab","ONS 18+1","Hardship","18","114"
"Asian","ONS 5+1 2011","Hardship","13","721"
"Asian","ONS 5+1 2011","Homelessness","45","2468"
"Asian","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","34","1838"
"Asian","ONS 5+1 2011","Medical Welfare","14","766"
"Black","ONS 5+1 2011","Hardship","13","1064"
"Black","ONS 5+1 2011","Homelessness","48","3828"
"Black","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","31","2475"
"Black","ONS 5+1 2011","Medical Welfare","14","1149"
"Mixed","ONS 5+1 2011","Hardship","16","486"
"Mixed","ONS 5+1 2011","Homelessness","48","1467"
"Mixed","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","25","770"
"Mixed","ONS 5+1 2011","Medical Welfare","16","497"
"Other","ONS 5+1 2011","Hardship","17","346"
"Other","ONS 5+1 2011","Homelessness","51","1015"
"Other","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","23","458"
"Other","ONS 5+1 2011","Medical Welfare","16","317"
"White","ONS 5+1 2011","Hardship","16","12042"
"White","ONS 5+1 2011","Homelessness","37","28361"
"White","ONS 5+1 2011","Insanitary/Unsatisfactory Housing","22","16945"
"White","ONS 5+1 2011","Medical Welfare","29","22383"
"All","All","Hardship","15","14659"
"All","All","Homelessness","39","37139"
"All","All","Insanitary/Unsatisfactory Housing","24","22486"
"All","All","Medical Welfare","26","25112"
