"Ethnicity","Measure Type","%"
"All","Receiving income from benefits (including State Pension)","100"
"All","Receiving income from State Pension","97"
"All","Receiving income from income-related benefits","25"
"All","Receiving income from disability benefits","20"
"All","Receiving occupational pension income","62"
"All","Receiving personal pension income","19"
"All","Receiving investment income","63"
"All","Receiving income from earnings","17"
"All","Receiving other income","47"
"Asian","Receiving income from benefits (including State Pension)","99"
"Asian","Receiving income from State Pension","88"
"Asian","Receiving income from income-related benefits","33"
"Asian","Receiving income from disability benefits","17"
"Asian","Receiving occupational pension income","34"
"Asian","Receiving personal pension income","10"
"Asian","Receiving investment income","35"
"Asian","Receiving income from earnings","18"
"Asian","Receiving other income","38"
"Black","Receiving income from benefits (including State Pension)","100"
"Black","Receiving income from State Pension","93"
"Black","Receiving income from income-related benefits","46"
"Black","Receiving income from disability benefits","19"
"Black","Receiving occupational pension income","43"
"Black","Receiving personal pension income","8"
"Black","Receiving investment income","29"
"Black","Receiving income from earnings","18"
"Black","Receiving other income","48"
"White British","Receiving income from benefits (including State Pension)","100"
"White British","Receiving income from State Pension","98"
"White British","Receiving income from income-related benefits","24"
"White British","Receiving income from disability benefits","20"
"White British","Receiving occupational pension income","64"
"White British","Receiving personal pension income","19"
"White British","Receiving investment income","65"
"White British","Receiving income from earnings","17"
"White British","Receiving other income","47"
"White other","Receiving income from benefits (including State Pension)","99"
"White other","Receiving income from State Pension","88"
"White other","Receiving income from income-related benefits","31"
"White other","Receiving income from disability benefits","19"
"White other","Receiving occupational pension income","47"
"White other","Receiving personal pension income","13"
"White other","Receiving investment income","57"
"White other","Receiving income from earnings","18"
"White other","Receiving other income","44"
"Other inc Mixed","Receiving income from benefits (including State Pension)","99"
"Other inc Mixed","Receiving income from State Pension","87"
"Other inc Mixed","Receiving income from income-related benefits","31"
"Other inc Mixed","Receiving income from disability benefits","18"
"Other inc Mixed","Receiving occupational pension income","48"
"Other inc Mixed","Receiving personal pension income","13"
"Other inc Mixed","Receiving investment income","45"
"Other inc Mixed","Receiving income from earnings","23"
"Other inc Mixed","Receiving other income","36"
