"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Measure Type","Geography","Value","Value Type","Upper bound","Lower bound","Note"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which State Pension","United Kingdom","96","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","31","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","23","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Occupational pension income","United Kingdom","60","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Personal pension income","United Kingdom","16","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Investment income","United Kingdom","69","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Earnings income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","All","ONS 5+2","Other income","United Kingdom","45","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Benefit Income of which State Pension","United Kingdom","96","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","30","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","23","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Occupational pension income","United Kingdom","61","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Personal pension income","United Kingdom","16","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Investment income","United Kingdom","70","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Earnings income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White All","ONS 5+2","Other income","United Kingdom","45","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Benefit Income of which State Pension","United Kingdom","96","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","30","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","23","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Occupational pension income","United Kingdom","61","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Personal pension income","United Kingdom","16","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Investment income","United Kingdom","70","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Earnings income","United Kingdom","18","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White British","ONS 5+2","Other income","United Kingdom","45","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","All benefit income (including State Pension)","United Kingdom","99","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Benefit Income of which State Pension","United Kingdom","89","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","32","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","23","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Occupational pension income","United Kingdom","52","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Personal pension income","United Kingdom","13","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Investment income","United Kingdom","64","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Earnings income","United Kingdom","19","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","White Other","ONS 5+2","Other income","United Kingdom","44","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","All benefit income (including State Pension)","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which State Pension","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Occupational pension income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Personal pension income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Investment income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Earnings income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Mixed/Multiple","ONS 5+2","Other income","United Kingdom","..","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied
Value not available due to small sample size"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","All benefit income (including State Pension)","United Kingdom","100","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Benefit Income of which State Pension","United Kingdom","86","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","51","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","19","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Occupational pension income","United Kingdom","46","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Personal pension income","United Kingdom","7","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Investment income","United Kingdom","42","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Earnings income","United Kingdom","16","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Black","ONS 5+2","Other income","United Kingdom","29","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","All benefit income (including State Pension)","United Kingdom","98","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which State Pension","United Kingdom","90","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which Income-related benefits","United Kingdom","45","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Benefit Income of which Disability benefits","United Kingdom","24","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Occupational pension income","United Kingdom","32","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Personal pension income","United Kingdom","8","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Investment income","United Kingdom","43","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Earnings income","United Kingdom","17","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
"The percentage of pensioner units in receipt","2008/09; 2009/10; 2010/11","3-Year average","Asian","ONS 5+2","Other income","United Kingdom","32","%","","","Estimated as 3-year averages so denominators and numerators can not be supplied"
