"Title","Pensioner households' total income by ethnicity and source of income"
"Location","UK"
"Time period","2013/14 to 2016/2017"
"Data source","Pensioners’ incomes series: financial year 2016/17"
"Data source link","https://www.gov.uk/government/statistics/pensioners-incomes-series-financial-year-201617"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","22/03/2018"

"","All","Asian","Black","White British","White other","Other inc Mixed"
"","£","£","£","£","£","£"
"Gross income value","520","397","377","526","473","550"
"Income from State Pension","175","128","129","178","142","140"
"Income from income-related benefits","22","40","59","20","35","46"
"Income from disability benefits","17","15","14","17","15","16"
"Income from occupational pension","151","71","67","156","102","105"
"Personal pension income","21","10","4","21","19","13"
"Investment income","40","20","3","41","43","42"
"Income from earnings","84","99","91","83","107","176"
"Income from other sources","4","6","3","4","6","6"
