"Title","Maths attainment for children aged 7 to 11 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","01/09/2016 (provisional)"

"","Boys","","","","Girls","","",""
"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score","Expected standard","Higher standard","Average scaled score","Progress score"
"All","70","18","103","0.6","70","15","103","-0.6"
"Asian","75","25","105","2.4","75","21","104","1.1"
"Bangladeshi","75","22","104","2.5","75","19","104","1.1"
"Indian","82","35","107","2.9","83","31","106","1.7"
"Pakistani","68","17","103","1.6","67","14","102","0.3"
"Asian other","81","34","106","3.7","81","30","106","2.3"
"Black","67","15","103","1.0","70","13","103","0.2"
"Black African","71","17","103","1.6","73","15","103","0.7"
"Black Caribbean","58","9","101","-0.4","61","8","101","-1.1"
"Black other","64","13","102","0.8","66","11","102","-0.4"
"Chinese","92","53","110","5.4","92","48","109","3.6"
"Mixed","70","19","103","0.6","71","16","103","-0.6"
"Mixed White/Asian","77","26","105","1.3","78","22","104","0.0"
"Mixed White/Black African","69","17","103","0.4","70","14","103","-0.5"
"Mixed White/Black Caribbean","62","12","102","-0.5","63","10","101","-1.7"
"Mixed other","72","21","104","1.0","73","18","103","-0.2"
"White","69","17","103","0.3","69","14","103","-1.0"
"White British","70","17","103","0.1","69","14","103","-1.1"
"White Irish","74","23","104","1.1","76","21","104","0.0"
"White Irish Traveller","30","!","96","-1.2","37","!","97","-1.6"
"White Gypsy/Roma","26","!","96","-0.5","25","!","96","-1.6"
"White other","71","20","104","2.9","69","16","103","1.7"
"Other","73","22","104","3.0","73","18","104","1.7"
"Unknown","59","15","103","0.5","58","12","102","-0.9"
