"Title","Maths attainments for children aged 7 to 11 (key stage 2)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"
"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_tyoe","Denominator"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","17","%","586,157"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","16","%","441,649"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","15","%","406,135"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","22","%","1,701"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","3","%","432"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","1","%","1,992"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","18","%","31,389"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","18","%","30,590"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","11","%","8,607"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","15","%","3,900"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","24","%","7,028"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","11,055"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","23","%","62,120"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","33","%","15,794"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","16","%","26,156"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","10,195"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","32","%","9,975"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","14","%","34,424"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","8","%","7,505"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","16","%","22,467"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","12","%","4,452"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Chinese","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","50","%","2,173"
"% of pupils reaching the higher standard in mathematics by ethnicity","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","20","%","10,322"
