"Title","Maths attainment for children aged 10 to 11 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"","Boys","","","","Girls","","",""
"Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score","Expected standard","Higher standard","Average scaled score","Progress score"
"All","75","24","104","0.6","75","21","104","-0.7"
"Asian","80","33","106","2.6","80","29","105","1.1"
"Bangladeshi","80","30","106","2.7","80","25","105","1.0"
"Indian","86","43","108","3.1","86","40","107","1.9"
"Pakistani","74","24","104","1.9","74","19","104","0.2"
"Asian other","84","40","108","3.5","84","38","107","2.2"
"Black","73","21","104","1.1","76","21","104","0.2"
"Black African","76","24","105","1.7","79","23","105","0.8"
"Black Caribbean","65","14","102","-0.6","69","13","102","-1.3"
"Black other","70","18","103","0.6","73","19","104","0.0"
"Chinese","91","58","111","5.3","93","54","110","3.9"
"Mixed","74","25","104","0.6","76","22","104","-0.6"
"Mixed White/Asian","80","33","106","1.3","82","30","106","0.0"
"Mixed White/Black African","74","23","104","0.5","75","19","104","-0.7"
"Mixed White/Black Caribbean","67","16","102","-0.7","69","14","102","-1.7"
"Mixed other","76","28","105","1.0","77","24","104","-0.2"
"White","74","23","104","0.3","74","19","104","-1.0"
"White British","74","23","104","0.1","75","19","104","-1.2"
"White Irish","80","32","106","1.4","80","25","105","0.1"
"White Irish Traveller","37","5","98","0.5","31","5","96","-1.0"
"White Gypsy/Roma","31","3","96","-0.4","31","3","96","-1.0"
"White other","74","25","105","2.9","74","22","104","1.5"
"Other","76","27","105","3.0","77","23","105","1.7"
