"Title","Victims of crime by ethnicity and socio-economic group"
"Location","England and Wales"
"Time period","2013/14, 2014/15 and 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","[None]","%","Number"
"Asian","Managerial and professional occupations","20","1,653"
"Asian","Intermediate occupations","19","1,076"
"Asian","Routine and manual occupations","16","1,467"
"Asian","Never worked and long-term unemployed","13","602"
"Asian","Full time students","18","423"
"Asian","Not classified","?","42"
"Black","Managerial and professional occupations","20","806"
"Black","Intermediate occupations","18","470"
"Black","Routine and manual occupations","17","1,004"
"Black","Never worked and long-term unemployed","12","235"
"Black","Full time students","21","223"
"Black","Not classified","?","25"
"Mixed","Managerial and professional occupations","32","339"
"Mixed","Intermediate occupations","21","199"
"Mixed","Routine and manual occupations","22","311"
"Mixed","Never worked and long-term unemployed","18","57"
"Mixed","Full time students","25","101"
"Mixed","Not classified","?","5"
"White","Managerial and professional occupations","16","32,267"
"White","Intermediate occupations","15","22,321"
"White","Routine and manual occupations","15","33,752"
"White","Never worked and long-term unemployed","18","2,848"
"White","Full time students","22","2,463"
"White","Not classified","14","508"
"Other","Managerial and professional occupations","22","196"
"Other","Intermediate occupations","15","125"
"Other","Routine and manual occupations","16","177"
"Other","Never worked and long-term unemployed","16","106"
"Other","Full time students","7","106"
"Other","Not classified","?","2"
