"Title","Victims of crime by ethnicity"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20 July 2017"

"Time","Ethnicity","%","Number"
"2013/14","All","17","35,371"
"2013/14","Asian","19","1,824"
"2013/14","Bangladeshi","17","138"
"2013/14","Chinese","15","169"
"2013/14","Indian","20","767"
"2013/14","Pakistani","20","398"
"2013/14","Asian other","15","352"
"2013/14","Black","17","959"
"2013/14","Black African","16","564"
"2013/14","Black Caribbean","17","350"
"2013/14","Black other","?","45"
"2013/14","Mixed","27","339"
"2013/14","Mixed White/Asian","24","80"
"2013/14","Mixed White/Black African","?","46"
"2013/14","Mixed White/Black Caribbean","29","120"
"2013/14","Mixed other","29","93"
"2013/14","White","17","31,980"
"2013/14","White British","17","30,073"
"2013/14","White Irish","21","322"
"2013/14","White Gypsy/Traveller","?","12"
"2013/14","White other","17","1,573"
"2013/14","Other","14","236"
"2013/14","Arab","10","88"
"2013/14","Any other","16","148"
"2014/15","All","16","33,350"
"2014/15","Asian","16","1,649"
"2014/15","Bangladeshi","12","123"
"2014/15","Chinese","11","136"
"2014/15","Indian","14","679"
"2014/15","Pakistani","22","388"
"2014/15","Asian other","14","323"
"2014/15","Black","18","902"
"2014/15","Black African","19","529"
"2014/15","Black Caribbean","15","316"
"2014/15","Black other","28","57"
"2014/15","Mixed","28","309"
"2014/15","Mixed White/Asian","28","90"
"2014/15","Mixed White/Black African","?","45"
"2014/15","Mixed White/Black Caribbean","29","98"
"2014/15","Mixed other","23","76"
"2014/15","White","16","30,212"
"2014/15","White British","16","28,476"
"2014/15","White Irish","17","299"
"2014/15","White Gypsy/Traveller","?","10"
"2014/15","White other","19","1,427"
"2014/15","Other","15","234"
"2014/15","Arab","10","83"
"2014/15","Any other","17","151"
"2015/16","All","15","35,324"
"2015/16","Asian","18","1,790"
"2015/16","Bangladeshi","15","135"
"2015/16","Chinese","16","173"
"2015/16","Indian","18","722"
"2015/16","Pakistani","23","428"
"2015/16","Asian other","15","332"
"2015/16","Black","19","902"
"2015/16","Black African","19","530"
"2015/16","Black Caribbean","16","311"
"2015/16","Black other","31","61"
"2015/16","Mixed","21","364"
"2015/16","Mixed White/Asian","16","94"
"2015/16","Mixed White/Black African","?","44"
"2015/16","Mixed White/Black Caribbean","21","135"
"2015/16","Mixed other","26","91"
"2015/16","White","15","31,967"
"2015/16","White British","15","29,993"
"2015/16","White Irish","17","287"
"2015/16","White Gypsy/Traveller","?","15"
"2015/16","White other","16","1,672"
"2015/16","Other","17","242"
"2015/16","Arab","10","87"
"2015/16","Any other","21","155"
