"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size"
"Proportion of adults who were victims of all CSEW crime ","White","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.6","%","31,673"
"Proportion of adults who were victims of all CSEW crime ","White British","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.6","%","29,366"
"Proportion of adults who were victims of all CSEW crime ","White Irish","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","9.7","%","296"
"Proportion of adults who were victims of all CSEW crime ","Gypsy or Irish traveller","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","21"
"Proportion of adults who were victims of all CSEW crime ","Any other White background","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.2","%","1,990"
"Proportion of adults who were victims of all CSEW crime ","Mixed","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.3","%","370"
"Proportion of adults who were victims of all CSEW crime ","Mixed White and Black Caribbean","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.2","%","121"
"Proportion of adults who were victims of all CSEW crime ","Mixed White and Black African","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.5","%","56"
"Proportion of adults who were victims of all CSEW crime ","Mixed White and Asian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.4","%","105"
"Proportion of adults who were victims of all CSEW crime ","Any other Mixed/Multiple ethnic background","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","29.3","%","88"
"Proportion of adults who were victims of all CSEW crime ","Asian","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.9","%","1,956"
"Proportion of adults who were victims of all CSEW crime ","Indian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.7","%","772"
"Proportion of adults who were victims of all CSEW crime ","Pakistani","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.7","%","498"
