"Title","Convictions by ethnicity"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Criminal Justice Statistics 
 https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-december-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Sex","Age group","Ethnicity","Convictions","Prosecutions","Conviction Ratio"
"2009","All","All","Asian","13,759","19,171","72"
"2009","All","All","Black","23,581","32,453","73"
"2009","All","All","Chinese and other","3,799","5,134","74"
"2009","All","All","Mixed","8,237","11,592","71"
"2009","All","All","Not stated","47,588","52,229","91"
"2009","All","All","White","231,485","294,080","79"
"2010","All","All","Asian","15,714","20,557","76"
"2010","All","All","Black","26,403","34,725","76"
"2010","All","All","Chinese and other","4,288","5,235","82"
"2010","All","All","Mixed","9,645","12,817","75"
"2010","All","All","Not stated","35,311","45,600","77"
"2010","All","All","White","258,471","317,998","81"
"2011","All","All","Asian","15,750","20,164","78"
"2011","All","All","Black","26,572","33,826","79"
"2011","All","All","Chinese and other","3,969","4,896","81"
"2011","All","All","Mixed","9,742","12,581","77"
"2011","All","All","Not stated","33,792","45,716","74"
"2011","All","All","White","253,227","305,675","83"
"2012","All","All","Asian","13,895","17,745","78"
"2012","All","All","Black","23,051","29,153","79"
"2012","All","All","Chinese and other","3,470","4,193","83"
"2012","All","All","Mixed","8,497","10,839","78"
"2012","All","All","Not stated","33,772","45,633","74"
"2012","All","All","White","225,426","268,301","84"
"2013","All","All","Asian","13,215","18,005","73"
"2013","All","All","Black","21,858","28,728","76"
"2013","All","All","Chinese and other","3,407","4,156","82"
"2013","All","All","Mixed","7,979","10,542","76"
"2013","All","All","Not stated","34,781","47,207","74"
"2013","All","All","White","212,567","260,857","82"
"2014","All","All","Asian","12,437","16,736","74"
"2014","All","All","Black","20,755","27,045","77"
"2014","All","All","Chinese and other","2,895","3,627","80"
"2014","All","All","Mixed","7,299","9,630","76"
"2014","All","All","Not stated","37,563","49,890","75"
"2014","All","All","White","201,619","247,209","82"
"2015","All","All","Asian","11,972","15,426","78"
"2015","All","All","Black","19,903","25,005","80"
"2015","All","All","Chinese and other","2,870","3,399","84"
"2015","All","All","Mixed","7,121","9,196","77"
"2015","All","All","Not stated","40,763","52,005","78"
"2015","All","All","White","183,183","217,298","84"
"2016","All","All","Asian","11,845","14,716","81"
"2016","All","All","Black","20,148","25,000","81"
"2016","All","All","Chinese and other","2,501","3,077","81"
"2016","All","All","Mixed","6,184","7,615","81"
"2016","All","All","Not stated","45,252","55,914","81"
"2016","All","All","White","159,449","185,403","86"
