"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Sex","Alcohol Use Disorders Identification Test (AUDIT) score","Risk level","Risk level type","Value","Value type","Lower CI","Upper CI","Value type CI","Unweighted sample size"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","White - British","5 - Asian, Black, White British, White other, Other inc Mixed","All","8+","hazardous, harmful or dependent drinking","combined risk level","22.6","%","","","%","6,107"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","White - Other","5 - Asian, Black, White British, White other, Other inc Mixed","All","8+","hazardous, harmful or dependent drinking","combined risk level","14.8","%","","","%","408"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Black","5 - Asian, Black, White British, White other, Other inc Mixed","All","8+","hazardous, harmful or dependent drinking","combined risk level","7.1","%","","","%","185"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Asian","5 - Asian, Black, White British, White other, Other inc Mixed","All","8+","hazardous, harmful or dependent drinking","combined risk level","3.7","%","","","%","351"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Other inc Mixed","5 - Asian, Black, White British, White other, Other inc Mixed","All","8+","hazardous, harmful or dependent drinking","combined risk level","9.9","%","","","%","142"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","White - British","5 - Asian, Black, White British, White other, Other inc Mixed","Men","8+","hazardous, harmful or dependent drinking","combined risk level","30.8","%","","","%","2,503"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","White - Other","5 - Asian, Black, White British, White other, Other inc Mixed","Men","8+","hazardous, harmful or dependent drinking","combined risk level","18.4","%","","","%","152"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Black","5 - Asian, Black, White British, White other, Other inc Mixed","Men","8+","hazardous, harmful or dependent drinking","combined risk level","6.6","%","","","%","63"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Asian","5 - Asian, Black, White British, White other, Other inc Mixed","Men","8+","hazardous, harmful or dependent drinking","combined risk level","4.7","%","","","%","147"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Other inc Mixed","5 - Asian, Black, White British, White other, Other inc Mixed","Men","8+","hazardous, harmful or dependent drinking","combined risk level","12.9","%","","","%","51"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","White - British","5 - Asian, Black, White British, White other, Other inc Mixed","Women","8+","hazardous, harmful or dependent drinking","combined risk level","14.8","%","","","%","3,604"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","White - Other","5 - Asian, Black, White British, White other, Other inc Mixed","Women","8+","hazardous, harmful or dependent drinking","combined risk level","11.6","%","","","%","256"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Black","5 - Asian, Black, White British, White other, Other inc Mixed","Women","8+","hazardous, harmful or dependent drinking","combined risk level","7.4","%","","","%","122"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Asian","5 - Asian, Black, White British, White other, Other inc Mixed","Women","8+","hazardous, harmful or dependent drinking","combined risk level","2.6","%","","","%","204"
"Percentage of people aged 16 years and over drinking at hazardous, harmful or dependent levels","2014","Year","Other inc Mixed","5 - Asian, Black, White British, White other, Other inc Mixed","Women","8+","hazardous, harmful or dependent drinking","combined risk level","7.2","%","","","%","91"
