"Title","Custody rate by ethnicity and gender"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","May"

"","Asian Female","","Asian Male","","Black Female","","Black Male","","Mixed Female","","Mixed Male","","Other inc Chinese Female","","Other inc Chinese Male","","White Female","","White Male",""
"Year","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence","Custody rate (%)","Immediate custodial sentence"
"2009","18.4","155","29.7","3,788","21.7","638","30.2","6,155","14.0","169","24.8","1,699","29.9","168","41.8","1,336","13.0","4,488","23.9","46,408"
"2010","17.4","164","30.2","4,443","20.6","640","29.4","6,792","15.8","219","24.3","1,972","26.0","158","41.1","1,512","13.3","5,030","24.6","53,795"
"2011","18.9","171","31.9","4,718","22.4","624","31.3","7,408","17.5","235","28.0","2,327","26.1","134","40.1","1,384","14.6","5,275","26.7","57,733"
"2012","18.8","142","32.9","4,296","21.9","491","32.3","6,686","20.7","217","28.6","2,103","27.2","120","41.5","1,265","15.1","4,831","27.3","52,395"
"2013","15.7","114","31.9","3,947","20.4","397","30.3","5,981","17.5","167","29.4","2,030","23.4","101","39.8","1,189","15.3","4,603","28.2","50,828"
"2014","18.4","122","32.7","3,818","19.7","386","30.9","5,755","16.5","166","29.7","1,837","24.7","94","37.7","946","16.6","4,979","29.0","49,211"
"2015","16.3","106","34.6","3,870","19.1","355","31.9","5,668","19.4","188","29.8","1,799","20.0","74","37.5","940","17.5","4,776","30.5","46,919"
"2016","19.9","126","35.5","3,910","21.0","354","32.3","5,853","20.4","150","33.1","1,762","20.9","58","35.0","769","19.0","4,511","33.2","44,323"
"2017","20.9","106","36.6","3,644","20.5","290","34.2","5,702","23.4","159","33.7","1,541","24.5","62","36.4","714","21.3","4,451","34.9","40,998"
