"Ethnicity","Year","Custody Rate","Number sentenced to custody","All sentenced"
"Asian","2009","29.0","3,946","13,615"
"Asian","2010","29.4","4,609","15,658"
"Asian","2011","31.1","4,892","15,713"
"Asian","2012","32.1","4,438","13,846"
"Asian","2013","31.0","4,066","13,118"
"Asian","2014","31.9","3,945","12,368"
"Asian","2015","33.5","3,982","11,875"
"Asian","2016","34.6","4,038","11,682"
"Asian","2017","35.7","3,758","10,513"
"Black","2009","29.1","6,800","23,362"
"Black","2010","28.4","7,436","26,224"
"Black","2011","30.4","8,034","26,466"
"Black","2012","31.3","7,184","22,986"
"Black","2013","29.4","6,383","21,698"
"Black","2014","29.8","6,146","20,618"
"Black","2015","30.7","6,027","19,662"
"Black","2016","31.3","6,223","19,858"
"Black","2017","33.1","6,001","18,142"
"Mixed","2009","23.2","1,869","8,055"
"Mixed","2010","23.0","2,191","9,516"
"Mixed","2011","26.6","2,563","9,649"
"Mixed","2012","27.6","2,321","8,416"
"Mixed","2013","27.9","2,198","7,869"
"Mixed","2014","27.8","2,006","7,205"
"Mixed","2015","28.4","1,990","7,012"
"Mixed","2016","31.6","1,917","6,074"
"Mixed","2017","32.3","1,704","5,270"
"White","2009","22.2","50,933","229,047"
"White","2010","22.9","58,836","256,731"
"White","2011","24.9","63,032","252,664"
"White","2012","25.6","57,254","223,867"
"White","2013","26.3","55,470","210,712"
"White","2014","27.1","54,246","199,898"
"White","2015","28.5","51,738","181,268"
"White","2016","31.0","48,897","157,550"
"White","2017","32.8","45,505","138,834"
"Other inc Chinese","2009","40.0","1,506","3,769"
"Other inc Chinese","2010","39.0","1,671","4,290"
"Other inc Chinese","2011","38.3","1,518","3,968"
"Other inc Chinese","2012","39.7","1,388","3,496"
"Other inc Chinese","2013","37.6","1,291","3,429"
"Other inc Chinese","2014","36.0","1,042","2,891"
"Other inc Chinese","2015","35.3","1,017","2,883"
"Other inc Chinese","2016","33.4","827","2,479"
"Other inc Chinese","2017","35.0","776","2,220"
