"Title","Custody rate by ethnicity and age group"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","May"

"","Asian Adults","","","Asian Juveniles","","","Asian Young adults","","","Black Adults","","","Black Juveniles","","","Black Young adults","","","Mixed Adults","","","Mixed Juveniles","","","Mixed Young adults","","","Not stated Adults","","","Not stated Juveniles","","","Not stated Young adults","","","Other inc Chinese Adults","","","Other inc Chinese Juveniles","","","Other inc Chinese Young adults","","","White Adults","","","White Juveniles","","","White Young adults","",""
"Year","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced","Value","Immediate Custody","all sentenced"
"2009","32.5","3,316","10,202","10.9","177","1,629","25.4","453","1,784","33.4","5,446","16,283","11.4","437","3,835","28.3","917","3,244","28.1","1,277","4,543","10.9","218","1,991","24.6","374","1,521","32.2","12,474","38,730","15.5","669","4,319","36.3","2,068","5,693","44.3","1,356","3,060","14.1","44","311","26.6","106","398","24.9","41,145","165,209","8.6","2,733","31,900","22.1","7,055","31,938"
"2010","32.2","3,809","11,834","12.6","215","1,708","27.6","585","2,116","32.4","5,880","18,171","11.7","493","4,219","27.7","1,063","3,834","27.3","1,549","5,674","10.1","203","2,016","24.0","439","1,826","24.2","6,875","28,458","11.9","379","3,184","28.0","942","3,359","42.3","1,491","3,527","11.5","35","305","31.7","145","458","25.5","49,016","192,017","7.9","2,378","30,065","21.5","7,442","34,649"
"2011","34.1","4,036","11,831","13.7","230","1,678","28.4","626","2,204","33.9","6,237","18,410","13.9","601","4,316","32.0","1,196","3,740","31.1","1,846","5,938","10.5","214","2,032","30.0","503","1,679","23.4","6,422","27,425","12.0","386","3,209","24.4","660","2,700","41.0","1,313","3,206","13.8","45","326","36.7","160","436","27.4","53,569","195,524","9.0","2,273","25,324","22.6","7,190","31,816"
"2012","35.1","3,743","10,652","11.2","153","1,366","29.6","542","1,828","34.5","5,704","16,528","14.2","467","3,297","32.0","1,013","3,161","32.0","1,774","5,552","10.7","160","1,489","28.1","387","1,375","26.7","7,329","27,482","11.6","354","3,056","26.9","791","2,940","42.7","1,207","2,825","14.2","41","289","36.6","140","382","27.8","50,219","180,409","8.3","1,534","18,557","22.1","5,501","24,901"
"2013","33.4","3,534","10,591","11.1","119","1,075","28.4","413","1,452","32.2","5,242","16,287","12.5","324","2,582","28.9","817","2,829","31.5","1,736","5,510","11.2","125","1,113","27.0","337","1,246","25.7","7,570","29,420","12.8","308","2,409","25.5","674","2,645","40.8","1,180","2,889","10.3","21","203","26.7","90","337","28.1","49,757","176,838","8.7","1,191","13,663","22.4","4,522","20,211"
"2014","34.4","3,476","10,115","10.9","90","822","26.5","379","1,431","32.6","5,101","15,652","11.4","240","2,102","28.1","805","2,864","31.4","1,615","5,142","10.4","102","979","26.7","289","1,084","23.0","7,483","32,522","10.2","219","2,140","25.5","686","2,688","38.2","930","2,435","9.9","15","151","31.8","97","305","28.7","48,975","170,379","8.4","953","11,374","23.8","4,318","18,145"
"2015","35.8","3,508","9,802","15.2","118","775","27.4","356","1,298","33.3","4,955","14,889","12.9","256","1,985","29.3","816","2,788","32.0","1,648","5,147","9.8","86","882","26.0","256","983","24.3","8,646","35,515","10.1","227","2,250","26.6","735","2,762","37.3","892","2,390","15.0","27","180","31.3","98","313","30.2","47,303","156,804","9.1","854","9,357","23.7","3,581","15,107"
"2016","37.2","3,586","9,641","13.1","96","735","27.3","356","1,306","34.4","5,134","14,938","11.9","237","1,992","29.1","852","2,928","35.0","1,572","4,492","10.2","72","703","31.1","273","879","27.7","10,856","39,143","10.9","276","2,522","28.4","910","3,202","35.6","723","2,031","11.1","17","153","29.5","87","295","32.7","45,061","137,908","9.2","674","7,347","25.7","3,162","12,295"
"2017","38.1","3,307","8,683","10.3","61","593","31.5","390","1,237","36.1","4,863","13,460","13.7","263","1,917","31.6","875","2,765","35.6","1,384","3,885","11.4","67","586","31.7","253","799","28.8","12,064","41,839","11.1","375","3,369","28.4","999","3,512","37.6","685","1,821","8.2","12","146","31.2","79","253","34.5","42,171","122,374","9.9","621","6,291","26.7","2,713","10,169"
