"Title","Custody rate by ethnicity and gender"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","May"

"Ethnicity","Year","Custody rate (%)","Immediate custodial sentence"
"Asian Female","2009","18.4","155"
"Asian Female","2010","17.4","164"
"Asian Female","2011","18.9","171"
"Asian Female","2012","18.8","142"
"Asian Female","2013","15.7","114"
"Asian Female","2014","18.4","122"
"Asian Female","2015","16.3","106"
"Asian Female","2016","19.9","126"
"Asian Female","2017","20.9","106"
"Asian Male","2009","29.7","3,788"
"Asian Male","2010","30.2","4,443"
"Asian Male","2011","31.9","4,718"
"Asian Male","2012","32.9","4,296"
"Asian Male","2013","31.9","3,947"
"Asian Male","2014","32.7","3,818"
"Asian Male","2015","34.6","3,870"
"Asian Male","2016","35.5","3,910"
"Asian Male","2017","36.6","3,644"
"Black Female","2009","21.7","638"
"Black Female","2010","20.6","640"
"Black Female","2011","22.4","624"
"Black Female","2012","21.9","491"
"Black Female","2013","20.4","397"
"Black Female","2014","19.7","386"
"Black Female","2015","19.1","355"
"Black Female","2016","21.0","354"
"Black Female","2017","20.5","290"
"Black Male","2009","30.2","6,155"
"Black Male","2010","29.4","6,792"
"Black Male","2011","31.3","7,408"
"Black Male","2012","32.3","6,686"
"Black Male","2013","30.3","5,981"
"Black Male","2014","30.9","5,755"
"Black Male","2015","31.9","5,668"
"Black Male","2016","32.3","5,853"
"Black Male","2017","34.2","5,702"
"Mixed Female","2009","14.0","169"
"Mixed Female","2010","15.8","219"
"Mixed Female","2011","17.5","235"
"Mixed Female","2012","20.7","217"
"Mixed Female","2013","17.5","167"
"Mixed Female","2014","16.5","166"
"Mixed Female","2015","19.4","188"
"Mixed Female","2016","20.4","150"
"Mixed Female","2017","23.4","159"
"Mixed Male","2009","24.8","1,699"
"Mixed Male","2010","24.3","1,972"
"Mixed Male","2011","28.0","2,327"
"Mixed Male","2012","28.6","2,103"
"Mixed Male","2013","29.4","2,030"
"Mixed Male","2014","29.7","1,837"
"Mixed Male","2015","29.8","1,799"
"Mixed Male","2016","33.1","1,762"
"Mixed Male","2017","33.7","1,541"
"Other inc Chinese Female","2009","29.9","168"
"Other inc Chinese Female","2010","26.0","158"
"Other inc Chinese Female","2011","26.1","134"
"Other inc Chinese Female","2012","27.2","120"
"Other inc Chinese Female","2013","23.4","101"
"Other inc Chinese Female","2014","24.7","94"
"Other inc Chinese Female","2015","20.0","74"
"Other inc Chinese Female","2016","20.9","58"
"Other inc Chinese Female","2017","24.5","62"
"Other inc Chinese Male","2009","41.8","1,336"
"Other inc Chinese Male","2010","41.1","1,512"
"Other inc Chinese Male","2011","40.1","1,384"
"Other inc Chinese Male","2012","41.5","1,265"
"Other inc Chinese Male","2013","39.8","1,189"
"Other inc Chinese Male","2014","37.7","946"
"Other inc Chinese Male","2015","37.5","940"
"Other inc Chinese Male","2016","35.0","769"
"Other inc Chinese Male","2017","36.4","714"
"White Female","2009","13.0","4,488"
"White Female","2010","13.3","5,030"
"White Female","2011","14.6","5,275"
"White Female","2012","15.1","4,831"
"White Female","2013","15.3","4,603"
"White Female","2014","16.6","4,979"
"White Female","2015","17.5","4,776"
"White Female","2016","19.0","4,511"
"White Female","2017","21.3","4,451"
"White Male","2009","23.9","46,408"
"White Male","2010","24.6","53,795"
"White Male","2011","26.7","57,733"
"White Male","2012","27.3","52,395"
"White Male","2013","28.2","50,828"
"White Male","2014","29.0","49,211"
"White Male","2015","30.5","46,919"
"White Male","2016","33.2","44,323"
"White Male","2017","34.9","40,998"
