"Ethnicity","Offence Group","%","Custodial sentence","All sentenced"
"Asian","Criminal damage and arson","42.4","25","59"
"Asian","Drug offences","27.1","790","2,913"
"Asian","Fraud Offences","41.4","163","394"
"Asian","Miscellaneous crimes against society","39.3","582","1,480"
"Asian","Possession of weapons","35.3","262","743"
"Asian","Public order offences","28.0","211","753"
"Asian","Robbery","63.9","147","230"
"Asian","Sexual offences","53.6","232","433"
"Asian","Theft Offences","33.5","717","2,143"
"Asian","Violence against the person","46.1","629","1,365"
"Black","Criminal damage and arson","30.3","23","76"
"Black","Drug offences","22.9","1,393","6,084"
"Black","Fraud Offences","32.3","184","570"
"Black","Miscellaneous crimes against society","34.9","615","1,761"
"Black","Possession of weapons","37.9","776","2,050"
"Black","Public order offences","27.5","336","1,222"
"Black","Robbery","54.5","321","589"
"Black","Sexual offences","60.2","263","437"
"Black","Theft Offences","33.0","1,179","3,576"
"Black","Violence against the person","51.3","911","1,777"
"Mixed","Criminal damage and arson","34.5","10","29"
"Mixed","Drug offences","21.6","304","1,407"
"Mixed","Fraud Offences","27.9","29","104"
"Mixed","Miscellaneous crimes against society","35.4","186","526"
"Mixed","Possession of weapons","31.6","149","471"
"Mixed","Public order offences","27.7","86","311"
"Mixed","Robbery","59.1","110","186"
"Mixed","Sexual offences","56.4","53","94"
"Mixed","Theft Offences","31.9","475","1,490"
"Mixed","Violence against the person","46.3","302","652"
"White","Criminal damage and arson","33.4","454","1,361"
"White","Drug offences","20.5","3,957","19,336"
"White","Fraud Offences","28.9","988","3,422"
"White","Miscellaneous crimes against society","30.4","4,770","15,700"
"White","Possession of weapons","34.4","2,498","7,270"
"White","Public order offences","30.3","3,388","11,192"
"White","Robbery","79.1","1,760","2,225"
"White","Sexual offences","60.9","2,686","4,410"
"White","Theft Offences","31.2","17,169","54,948"
"White","Violence against the person","41.3","7,835","18,970"
"Other inc Chinese","Criminal damage and arson","13.3","2","15"
"Other inc Chinese","Drug offences","27.1","123","454"
"Other inc Chinese","Fraud Offences","34.3","34","99"
"Other inc Chinese","Miscellaneous crimes against society","43.4","144","332"
"Other inc Chinese","Possession of weapons","36.0","54","150"
"Other inc Chinese","Public order offences","29.1","37","127"
"Other inc Chinese","Robbery","58.1","25","43"
"Other inc Chinese","Sexual offences","55.1","59","107"
"Other inc Chinese","Theft Offences","29.7","195","657"
"Other inc Chinese","Violence against the person","43.6","103","236"
