"Title","Custody rate by ethnicity and age group"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","May"

"Ethnicity","Year","Value","Immediate Custody","all sentenced"
"Asian Adults","2009","32.5","3,316","10,202"
"Asian Adults","2010","32.2","3,809","11,834"
"Asian Adults","2011","34.1","4,036","11,831"
"Asian Adults","2012","35.1","3,743","10,652"
"Asian Adults","2013","33.4","3,534","10,591"
"Asian Adults","2014","34.4","3,476","10,115"
"Asian Adults","2015","35.8","3,508","9,802"
"Asian Adults","2016","37.2","3,586","9,641"
"Asian Adults","2017","38.1","3,307","8,683"
"Asian Juveniles","2009","10.9","177","1,629"
"Asian Juveniles","2010","12.6","215","1,708"
"Asian Juveniles","2011","13.7","230","1,678"
"Asian Juveniles","2012","11.2","153","1,366"
"Asian Juveniles","2013","11.1","119","1,075"
"Asian Juveniles","2014","10.9","90","822"
"Asian Juveniles","2015","15.2","118","775"
"Asian Juveniles","2016","13.1","96","735"
"Asian Juveniles","2017","10.3","61","593"
"Asian Young adults","2009","25.4","453","1,784"
"Asian Young adults","2010","27.6","585","2,116"
"Asian Young adults","2011","28.4","626","2,204"
"Asian Young adults","2012","29.6","542","1,828"
"Asian Young adults","2013","28.4","413","1,452"
"Asian Young adults","2014","26.5","379","1,431"
"Asian Young adults","2015","27.4","356","1,298"
"Asian Young adults","2016","27.3","356","1,306"
"Asian Young adults","2017","31.5","390","1,237"
"Black Adults","2009","33.4","5,446","16,283"
"Black Adults","2010","32.4","5,880","18,171"
"Black Adults","2011","33.9","6,237","18,410"
"Black Adults","2012","34.5","5,704","16,528"
"Black Adults","2013","32.2","5,242","16,287"
"Black Adults","2014","32.6","5,101","15,652"
"Black Adults","2015","33.3","4,955","14,889"
"Black Adults","2016","34.4","5,134","14,938"
"Black Adults","2017","36.1","4,863","13,460"
"Black Juveniles","2009","11.4","437","3,835"
"Black Juveniles","2010","11.7","493","4,219"
"Black Juveniles","2011","13.9","601","4,316"
"Black Juveniles","2012","14.2","467","3,297"
"Black Juveniles","2013","12.5","324","2,582"
"Black Juveniles","2014","11.4","240","2,102"
"Black Juveniles","2015","12.9","256","1,985"
"Black Juveniles","2016","11.9","237","1,992"
"Black Juveniles","2017","13.7","263","1,917"
"Black Young adults","2009","28.3","917","3,244"
