"Ethnicity","%","Students in cohort"
"All","13.4","222,084"
"Asian","10.9","21,164"
"Bangladeshi","7.2","3,229"
"Indian","15.3","7,436"
"Pakistani","7.3","6,469"
"Asian other","11.8","4,030"
"Black","5.3","9,234"
"Black African","5.7","6,494"
"Black Caribbean","3.6","1,808"
"Black other","5.5","932"
"Chinese","24.8","1,405"
"Mixed","13.0","8,267"
"Mixed White/Asian","16.7","2,291"
"Mixed White/Black African","10.1","941"
"Mixed White/Black Caribbean","8.2","1,862"
"Mixed other","14.1","3,173"
"White","11.3","138,097"
"White British","11.2","129,231"
"White Irish","13.7","904"
"Gypsy/Roma","7.7","26"
"Irish traveller","0.0","13"
"White other","12.8","7,923"
"Other","9.9","3,181"
"Unknown","23.7","40,736"
