"Title","EBacc entry by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM"," Value "," Denominator ","Lower confidence interval","Upper confidence interval","Notes","New grouping"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","Boys","All other ","36","190,070","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","Boys","All other ","35","177,753","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","Boys","All other ","47","768","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","Boys","All other ","12","26","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","Boys","All other ","5","377","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","Boys","All other ","42","11,146","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","Boys","All other ","41","9,414","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","Boys","All other ","31","2,798","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","Boys","All other ","40","1,079","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","Boys","All other ","48","2,180","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","Boys","All other ","44","3,357","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","Boys","All other ","43","21,835","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","Boys","All other ","51","6,782","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","Boys","All other ","35","8,163","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","Boys","All other ","41","2,972","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","Boys","All other ","48","3,918","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","Boys","All other ","38","10,594","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","Boys","All other ","31","2,710","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","Boys","All other ","42","6,594","NA","NA","","Non-FSM Boys"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","Boys","All other ","34","1,290","NA","NA","","Non-FSM Boys"
