"Title","EBacc entry by ethnicity, gender and basis for school admission"
"Location","England"
"Time period","2015 /16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","Admissions basis","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Selective schools","83","16228","NA","NA","","82","7979","84","8249"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Selective schools","86","1106","NA","NA","","85","570","86","536"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Selective schools","85","3637","NA","NA","","82","1951","89","1686"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Selective schools","84","693","NA","NA","","80","315","88","378"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Selective schools","86","375","NA","NA","","84","182","89","193"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","28","29804","NA","NA","","23","15007","32","14797"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","30","1225","NA","NA","","26","617","34","608"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","30","1784","NA","NA","","24","952","36","832"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","38","1176","NA","NA","","28","588","47","588"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","46","97","NA","NA","","48","56","44","41"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","38","368496","NA","NA","","33","186353","43","182143"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","42","20134","NA","NA","","36","10046","47","10088"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","46","45094","NA","NA","","39","23195","53","21899"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","43","25538","NA","NA","","36","12627","50","12911"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","59","1536","NA","NA","","51","783","67","753"
"Percentage entering the English Baccalaureate","2016","Academic year","White","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","39","414528","NA","NA","","34","209339","44","205189"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","43","22465","NA","NA","","38","11233","48","11232"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","48","50515","NA","NA","","42","26098","54","24417"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","44","27407","NA","NA","","37","13530","51","13877"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","63","2008","NA","NA","","57","1021","70","987"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Selective schools","83","22512","NA","NA","","82","11235","85","11277"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Non-selective schools in highly selective areas","28","34658","NA","NA","","24","17529","33","17129"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","Non-selective schools in other areas (inc. low selective areas)","39","472525","NA","NA","","34","239061","45","233464"
"Percentage entering the English Baccalaureate","2016","Academic year","All","5+1","England","Country","E92000001","All pupils","All state-funded mainstream schools","40","530580","NA","NA","","35","268280","46","262300"
