Measure,Time,Time Type,Ethnicity,Ethnicity Type,Geography,Geography type,ONS geography code,Gender,FSM,Admission basis,School type,SEN,Religious character,Value, Denominator 
Percentage entering the English Baccalaureate,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,38.2,"422,763"
Percentage entering the English Baccalaureate,2016,Academic year,White - British,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,37.8,"395,316"
Percentage entering the English Baccalaureate,2016,Academic year,White - Irish,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,49.8,"1,774"
Percentage entering the English Baccalaureate,2016,Academic year,White - Irish Traveller,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,12.3,122
Percentage entering the English Baccalaureate,2016,Academic year,White - Gypsy/Roma,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,5.1,"1,107"
Percentage entering the English Baccalaureate,2016,Academic year,White - Any other,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,45.4,"24,444"
Percentage entering the English Baccalaureate,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,42.3,"22,868"
Percentage entering the English Baccalaureate,2016,Academic year,Mixed - White and Black - Caribbean,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,32.9,"7,160"
Percentage entering the English Baccalaureate,2016,Academic year,Mixed - White and Black - African,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,42.1,"2,687"
Percentage entering the English Baccalaureate,2016,Academic year,Mixed - White and Asian,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,49.8,"5,089"
Percentage entering the English Baccalaureate,2016,Academic year,Mixed - Any other ,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,46,"7,932"
Percentage entering the English Baccalaureate,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,47.1,"51,218"
Percentage entering the English Baccalaureate,2016,Academic year,Asian - Indian,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,55.9,"14,046"
Percentage entering the English Baccalaureate,2016,Academic year,Asian - Pakistani,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,38.9,"20,434"
Percentage entering the English Baccalaureate,2016,Academic year,Asian - Bangladeshi,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,46.2,"8,319"
Percentage entering the English Baccalaureate,2016,Academic year,Asian - Any other,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,53.4,"8,419"
Percentage entering the English Baccalaureate,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,43,"27,924"
Percentage entering the English Baccalaureate,2016,Academic year,Black - Caribbean,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,36.1,"7,216"
Percentage entering the English Baccalaureate,2016,Academic year,Black - African,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,46.6,"17,349"
Percentage entering the English Baccalaureate,2016,Academic year,Black - Any other ,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,39.5,"3,359"
Percentage entering the English Baccalaureate,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,62.7,"2,026"
Percentage entering the English Baccalaureate,2016,Academic year,Other - Any other,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,48.7,"8,119"
Percentage entering the English Baccalaureate,2016,Academic year,unclassified,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,34,"5,771"
Percentage entering the English Baccalaureate,2016,Academic year,All,All pupils,England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,39.7,"540,689"
Percentage entering the English Baccalaureate,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,17.7,"49,595"
Percentage entering the English Baccalaureate,2016,Academic year,White - British,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,16.8,"46,438"
Percentage entering the English Baccalaureate,2016,Academic year,White - Irish,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,24.4,213
Percentage entering the English Baccalaureate,2016,Academic year,White - Irish Traveller,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,9.6,73
Percentage entering the English Baccalaureate,2016,Academic year,White - Gypsy/Roma,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,4.5,330
Percentage entering the English Baccalaureate,2016,Academic year,White - Any other,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,35.5,"2,541"
Percentage entering the English Baccalaureate,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,26.7,"4,240"
Percentage entering the English Baccalaureate,2016,Academic year,Mixed - White and Black - Caribbean,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,20.5,"1,620"
Percentage entering the English Baccalaureate,2016,Academic year,Mixed - White and Black - African,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,32.1,529
Percentage entering the English Baccalaureate,2016,Academic year,Mixed - White and Asian,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,27.6,732
Percentage entering the English Baccalaureate,2016,Academic year,Mixed - Any other ,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,31.6,"1,359"
Percentage entering the English Baccalaureate,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,36.1,"9,018"
Percentage entering the English Baccalaureate,2016,Academic year,Asian - Indian,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,40.6,"1,042"
Percentage entering the English Baccalaureate,2016,Academic year,Asian - Pakistani,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,30.8,"4,536"
Percentage entering the English Baccalaureate,2016,Academic year,Asian - Bangladeshi,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,42.1,"2,461"
Percentage entering the English Baccalaureate,2016,Academic year,Asian - Any other,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,41.4,979
Percentage entering the English Baccalaureate,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,35,"6,544"
Percentage entering the English Baccalaureate,2016,Academic year,Black - Caribbean,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,26.4,"1,689"
Percentage entering the English Baccalaureate,2016,Academic year,Black - African,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,39.3,"4,086"
Percentage entering the English Baccalaureate,2016,Academic year,Black - Any other ,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,30.8,769
Percentage entering the English Baccalaureate,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,55.4,130
Percentage entering the English Baccalaureate,2016,Academic year,Other - Any other,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,41.9,"2,024"
Percentage entering the English Baccalaureate,2016,Academic year,unclassified,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,21.1,977
Percentage entering the English Baccalaureate,2016,Academic year,All,All pupils,England,Country,E92000001,All pupils,Pupils eligible for free school meals,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,22.9,"72,528"
Percentage entering the English Baccalaureate,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,40.9,"373,168"
Percentage entering the English Baccalaureate,2016,Academic year,White - British,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,40.6,"348,878"
Percentage entering the English Baccalaureate,2016,Academic year,White - Irish,Ethnicities used by National Pupil Database (19),England,Country,E92000001,All pupils,All other pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,53.2,"1,561"
