"Title","EBacc entry by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator "
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","England","Country","E92000001","All pupils","All other pupils","38","422,763"
"Percentage entering the English Baccalaureate","2016","Academic year","White - British","DFE","England","Country","E92000001","All pupils","All other pupils","38","395,316"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish","DFE","England","Country","E92000001","All pupils","All other pupils","50","1,774"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Irish Traveller","DFE","England","Country","E92000001","All pupils","All other pupils","12","122"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Gypsy/Roma","DFE","England","Country","E92000001","All pupils","All other pupils","5","1,107"
"Percentage entering the English Baccalaureate","2016","Academic year","White - Any other","DFE","England","Country","E92000001","All pupils","All other pupils","45","24,444"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed","DFE","England","Country","E92000001","All pupils","All other pupils","42","22,868"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - Caribbean","DFE","England","Country","E92000001","All pupils","All other pupils","33","7,160"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Black - African","DFE","England","Country","E92000001","All pupils","All other pupils","42","2,687"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - White and Asian","DFE","England","Country","E92000001","All pupils","All other pupils","50","5,089"
"Percentage entering the English Baccalaureate","2016","Academic year","Mixed - Any other ","DFE","England","Country","E92000001","All pupils","All other pupils","46","7,932"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian","DFE","England","Country","E92000001","All pupils","All other pupils","47","51,218"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Indian","DFE","England","Country","E92000001","All pupils","All other pupils","56","14,046"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Pakistani","DFE","England","Country","E92000001","All pupils","All other pupils","39","20,434"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Bangladeshi","DFE","England","Country","E92000001","All pupils","All other pupils","46","8,319"
"Percentage entering the English Baccalaureate","2016","Academic year","Asian - Any other","DFE","England","Country","E92000001","All pupils","All other pupils","53","8,419"
"Percentage entering the English Baccalaureate","2016","Academic year","Black","DFE","England","Country","E92000001","All pupils","All other pupils","43","27,924"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Caribbean","DFE","England","Country","E92000001","All pupils","All other pupils","36","7,216"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - African","DFE","England","Country","E92000001","All pupils","All other pupils","47","17,349"
"Percentage entering the English Baccalaureate","2016","Academic year","Black - Any other ","DFE","England","Country","E92000001","All pupils","All other pupils","40","3,359"
"Percentage entering the English Baccalaureate","2016","Academic year","Chinese","DFE","England","Country","E92000001","All pupils","All other pupils","63","2,026"
"Percentage entering the English Baccalaureate","2016","Academic year","Other","DFE","England","Country","E92000001","All pupils","All other pupils","49","8,119"
"Percentage entering the English Baccalaureate","2016","Academic year","unclassified","DFE","England","Country","E92000001","All pupils","All other pupils","34","5,771"
"Percentage entering the English Baccalaureate","2016","Academic year","All - England","DFE","England","Country","E92000001","All pupils","All other pupils","40","540,689  "
