Title, Adults experiencing common mental disorders
Time period, Adults experiencing common mental disorders
Location, 2014
Source, Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing England 2014
Department, NHS Digital
Last update, 2014

Measure,Time,Time_type,Geography,Ethnicity,Ethnicity_type,Sex,Sex_type,Disorder,Disorder_type,Value,Value type,Value Note,Lower confidence intervals (%),Upper confidence intervals (%),unweighted sample size
Common Mental Disorder Prevalence,2014,Year,England,White - British,5,All,Men/Women/All,Generalised anxiety disorder,Generalised anxiety disorder,6.3,%,,5.6,7.1,"6,387"
Common Mental Disorder Prevalence,2014,Year,England,White - British,5,All,Men/Women/All,Depressive episode,Depressive episode,3.4,%,,3,4,"6,387"
Common Mental Disorder Prevalence,2014,Year,England,White - British,5,All,Men/Women/All,Phobias,Phobias,2.5,%,,2.1,3,"6,387"
Common Mental Disorder Prevalence,2014,Year,England,White - British,5,All,Men/Women/All,Obsessive compulsive disorder,Obsessive compulsive disorder,1.2,%,,0.9,1.6,"6,387"
Common Mental Disorder Prevalence,2014,Year,England,White - British,5,All,Men/Women/All,Panic disorder,Panic disorder,0.5,%,,0.3,0.8,"6,387"
Common Mental Disorder Prevalence,2014,Year,England,White - British,5,All,Men/Women/All,CMD-NOS,CMD-NOS,7.7,%,,7,8.5,"6,387"
Common Mental Disorder Prevalence,2014,Year,England,White - British,5,All,Men/Women/All,Any CMD,Any CMD,17.3,%,,16.2,18.5,"6,387"
Common Mental Disorder Prevalence,2014,Year,England,White - Other,5,All,Men/Women/All,Generalised anxiety disorder,Generalised anxiety disorder,4.3,%,,2.5,7.1,426
Common Mental Disorder Prevalence,2014,Year,England,White - Other,5,All,Men/Women/All,Depressive episode,Depressive episode,2.6,%,,1.4,4.7,426
Common Mental Disorder Prevalence,2014,Year,England,White - Other,5,All,Men/Women/All,Phobias,Phobias,1.1,%,,0.4,2.8,426
Common Mental Disorder Prevalence,2014,Year,England,White - Other,5,All,Men/Women/All,Obsessive compulsive disorder,Obsessive compulsive disorder,2.9,%,,1.4,6,426
Common Mental Disorder Prevalence,2014,Year,England,White - Other,5,All,Men/Women/All,Panic disorder,Panic disorder,0.2,%,,0,1.3,426
Common Mental Disorder Prevalence,2014,Year,England,White - Other,5,All,Men/Women/All,CMD-NOS,CMD-NOS,6.9,%,,4.5,10.5,426
Common Mental Disorder Prevalence,2014,Year,England,White - Other,5,All,Men/Women/All,Any CMD,Any CMD,14.4,%,,10.8,19.1,426
Common Mental Disorder Prevalence,2014,Year,England,Black,5,All,Men/Women/All,Generalised anxiety disorder,Generalised anxiety disorder,6.1,%,,3.2,11.5,197
Common Mental Disorder Prevalence,2014,Year,England,Black,5,All,Men/Women/All,Depressive episode,Depressive episode,4.5,%,,2.2,9,197
Common Mental Disorder Prevalence,2014,Year,England,Black,5,All,Men/Women/All,Phobias,Phobias,3.1,%,,1.2,7.7,197
Common Mental Disorder Prevalence,2014,Year,England,Black,5,All,Men/Women/All,Obsessive compulsive disorder,Obsessive compulsive disorder,1.8,%,,0.7,4.9,197
