"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age_Group","Age_Group_type","Geography","Geography_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 1,000 population by ethnicity, gender, and PFA","Proportion of arrests of this ethnicity, in this year, of this gender and in this police force area (excludes unreported)"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","430","16,660","25.81","1.55%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","1,603","15,701","102.1","5.77%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","192","7,933","24.2","0.69%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","696","14,023","49.63","2.51%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","211"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Avon & Somerset","Police Force Area","24,856","732,109","33.95","89.48%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","1,706","41,827","40.79","13.31%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","1,453","14,626","99.34","11.34%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","111","4,810","23.08","0.87%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","701","9,322","75.2","5.47%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","324"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Bedfordshire","Police Force Area","8,847","234,725","37.69","69.02%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","742","20,025","37.05","5.22%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","599","5,343","112.11","4.22%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","136","6,679","20.36","0.96%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","400","8,197","48.8","2.81%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","1,131"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cambridgeshire","Police Force Area","12,334","360,175","34.24","86.79%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","162","6,333","25.58","0.92%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","201","1,870","107.49","1.14%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","133","2,624","50.69","0.75%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","140","5,246","26.69","0.79%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","281"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cheshire","Police Force Area","16,986","487,590","34.84","96.39%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","367","8,893","41.27","2.06%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","225","1,700","132.35","1.26%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","85","2,529","33.61","0.48%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","96","2,947","32.58","0.54%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","114"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cleveland","Police Force Area","17,076","256,151","66.66","95.67%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","71","1,425","49.82","0.64%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","29","323","89.78","0.26%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","62","827","74.97","0.55%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","25","1,203","20.78","0.22%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","52"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Cumbria","Police Force Area","10,993","242,287","45.37","98.33%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","648","18,457","35.11","3.66%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","500","5,087","98.29","2.83%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","76","4,083","18.61","0.43%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","407","7,198","56.54","2.30%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","30"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Derbyshire","Police Force Area","16,066","467,007","34.4","90.78%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","130","5,526","23.53","0.88%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","116","2,180","53.21","0.79%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","80","4,855","16.48","0.54%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","90","8,016","11.23","0.61%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","9,977"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Devon & Cornwall","Police Force Area","14,298","789,869","18.1","97.17%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","213","5,421","39.29","1.50%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","313","1,872","167.2","2.21%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","107","3,061","34.96","0.75%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","203","4,878","41.62","1.43%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","1,168"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dorset","Police Force Area","13,345","349,546","38.18","94.10%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","98","2,447","40.05","0.48%"
"Number of arrests","2006/07","Financial year","Black","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","41","545","75.23","0.20%"
"Number of arrests","2006/07","Financial year","Other","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","25","1,472","16.98","0.12%"
"Number of arrests","2006/07","Financial year","Mixed","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","84","2,160","38.89","0.41%"
"Number of arrests","2006/07","Financial year","Unreported","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","159"," N/A "," N/A ","N/A"
"Number of arrests","2006/07","Financial year","White","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Durham","Police Force Area","20,229","296,139","68.31","98.79%"
"Number of arrests","2006/07","Financial year","Asian","ONS 2001 5+1","Male","Male/Female","All","Arrest age group categories","Dyfed-Powys","Police Force Area","64","2,124","30.13","0.58%"
