"Title","Adults with common mental disorders in the past week"
"Location","England"
"Time period","2014"
"Data source","[Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014](http://content.digital.nhs.uk/catalogue/PUB21748)"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Geography","Ethnicity","Gender","Value","Lower confidence intervals (%)","Upper confidence intervals (%)"
"Common Mental Disorder Prevalence","2014","England","White British","All","17.3","16.20","18.50"
"Common Mental Disorder Prevalence","2014","England","White other","All","14.4","10.80","19.10"
"Common Mental Disorder Prevalence","2014","England","Black/Black British","All","22.5","14.90","32.50"
"Common Mental Disorder Prevalence","2014","England","Asian/Asian British","All","17.9","13.40","23.40"
"Common Mental Disorder Prevalence","2014","England","Mixed/ multiple/ other","All","19.5","12.10","29.90"
"Common Mental Disorder Prevalence","2014","England","White British","Male","13.5","12.00","15.20"
"Common Mental Disorder Prevalence","2014","England","White other","Male","13.1","7.60","21.70"
"Common Mental Disorder Prevalence","2014","England","Black/Black British","Male","13.5","6.30","26.70"
"Common Mental Disorder Prevalence","2014","England","Asian/Asian British","Male","12.9","8.00","20.20"
"Common Mental Disorder Prevalence","2014","England","Mixed/ multiple/ other","Male","10.5","5.10","20.40"
"Common Mental Disorder Prevalence","2014","England","White British","Female","20.9","19.40","22.50"
"Common Mental Disorder Prevalence","2014","England","White other","Female","15.6","11.30","21.20"
"Common Mental Disorder Prevalence","2014","England","Black/Black British","Female","29.3","19.20","42.00"
"Common Mental Disorder Prevalence","2014","England","Asian/Asian British","Female","23.6","16.50","32.60"
"Common Mental Disorder Prevalence","2014","England","Mixed/ multiple/ other","Female","28.7","16.80","44.50"
