"","Higher managerial and professional","Lower managerial and professional","Intermediate occupations","Small employers and own account workers","Lower supervisory and technical","Semi-routine occupations","Routine occupations","Never worked, unemployed, and nec"
"","","","","","","","",""
"All","2.81","2.84","2.81","2.73","2.64","2.82","2.75","3.03"
"Arab","3.25","3.58","?","?","?","?","?","3.39"
"Bangladeshi","2.98","3.21","3.15","2.65","2.36","3.13","2.86","2.84"
"Chinese","2.77","3.10","3.05","2.43","?","2.74","?","2.62"
"Indian","3.03","2.91","2.73","2.85","3.08","3.17","2.84","2.86"
"Pakistani","2.49","2.92","2.70","3.14","3.21","3.13","3.00","3.04"
"Asian other","3.27","2.89","2.57","3.16","2.92","2.83","3.00","2.91"
"Black","2.90","2.70","2.78","2.71","2.81","2.96","2.63","2.92"
"Mixed","2.92","3.08","3.30","3.50","2.95","2.96","2.96","3.62"
"White","2.78","2.84","2.80","2.71","2.61","2.80","2.75","3.04"
"White Gypsy/Traveller","?","?","?","?","?","?","?","?"
"Other","3.00","2.97","2.96","2.91","2.58","2.59","2.66","3.20"
