"Title","Anxiety thresholds by ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"Threshold","Ethnicity",""
"Very Low (0-1)","All","40.20"
"Very Low (0-1)","Bangladeshi","37.25"
"Very Low (0-1)","Chinese","34.41"
"Very Low (0-1)","Indian","36.79"
"Very Low (0-1)","Pakistani","42.73"
"Very Low (0-1)","Asian other","40.84"
"Very Low (0-1)","Black","38.60"
"Very Low (0-1)","Mixed other","36.58"
"Very Low (0-1)","White","40.48"
"Very Low (0-1)","Other","36.61"
"Very Low (0-1)","Arab","32.84"
"Very Low (0-1)","White Gypsy/Traveller","?"
"Low (2-3)","All","23.06"
"Low (2-3)","Bangladeshi","23.08"
"Low (2-3)","Chinese","24.96"
"Low (2-3)","Indian","23.41"
"Low (2-3)","Pakistani","18.10"
"Low (2-3)","Asian other","23.91"
"Low (2-3)","Black","21.05"
"Low (2-3)","Mixed other","22.32"
"Low (2-3)","White","23.15"
"Low (2-3)","Other","24.75"
"Low (2-3)","Arab","24.62"
"Low (2-3)","White Gypsy/Traveller","?"
"Medium (4-5)","All","16.64"
"Medium (4-5)","Bangladeshi","20.45"
"Medium (4-5)","Chinese","19.64"
"Medium (4-5)","Indian","20.74"
"Medium (4-5)","Pakistani","19.21"
"Medium (4-5)","Asian other","18.09"
"Medium (4-5)","Black","19.42"
"Medium (4-5)","Mixed other","17.07"
"Medium (4-5)","White","16.32"
"Medium (4-5)","Other","17.47"
"Medium (4-5)","Arab","18.36"
"Medium (4-5)","White Gypsy/Traveller","?"
"High (6-10)","All","20.09"
"High (6-10)","Bangladeshi","19.22"
"High (6-10)","Chinese","20.99"
"High (6-10)","Indian","19.06"
"High (6-10)","Pakistani","19.96"
"High (6-10)","Asian other","17.17"
"High (6-10)","Black","20.93"
"High (6-10)","Mixed other","24.03"
"High (6-10)","White","20.04"
"High (6-10)","Other","21.17"
"High (6-10)","Arab","24.17"
"High (6-10)","White Gypsy/Traveller","?"
