"Title","Anxiety thresholds by ethnicity"
"Location","UK"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/measuringnationalwellbeing/januarytodecember2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","17/05/2018"

"","Very Low (0-1)","Low (2-3)","Medium (4-5)","High (6-10)"
"","","","",""
"All","40.20","23.06","16.64","20.09"
"Bangladeshi","37.25","23.08","20.45","19.22"
"Chinese","34.41","24.96","19.64","20.99"
"Indian","36.79","23.41","20.74","19.06"
"Pakistani","42.73","18.10","19.21","19.96"
"Asian other","40.84","23.91","18.09","17.17"
"Black","38.60","21.05","19.42","20.93"
"Mixed other","36.58","22.32","17.07","24.03"
"White","40.48","23.15","16.32","20.04"
"Other","36.61","24.75","17.47","21.17"
"Arab","32.84","24.62","18.36","24.17"
"White Gypsy/Traveller","?","?","?","?"
